Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
27-6342-a,Orion-M42-st,05 35 17.3,-05 23 28,12-13.02.1988,1m20s,20h54m,,8x8,,,ZPS+крф№2
27-6346-b,Orion-M42-st,05 35 17.3,-05 23 28,13-14.02.1988,7m,20h40m,20h47m,8x8,,,ZPI(86)ЖС18
27-6348-a,Orion-M42,05 35 17.3,-05 23 28,23-24.02.1988,2.5m,21h21m,21h23.5m,8x8,,,ZP3++крф№2
27-6349-a,NGC2327,07 04 08.0,-11 19 00,04-05.03.1988,35m,21h41m,22h16m,7.3x7.6,,,"t=+5,+6, 103aE+крф№2(10x10), f(3)15,БМК"
27-6350-a,NGC2177,06 01 15.70,-67 44 01.58,05-06.03.1988,35m,20h47m,21h22m,7.9x7.9,,,"t=+7.5, 103aE(87)+крф№2(10x10), f(3)10,БМК"
27-6351-a,NGC2327,07 04 08.0,-11 19 00,09-10.03.1988,35m,20h59m,21h34m20s,7.9x7.8,,,"103aE+крф№2,f(3)06"
27-6352-a,NGC2327,07 04 08.0,-11 19 00,09-10.03.1988,15m,22h34m,22h49m,7.9x7.8,,,"103aD ЖС18(1), f(3)46"
27-6368-a,GrG-235  ([FWB89] GrG 235),12 30 00.0,26 00 00,01-02.06.1988,5m,23h18m18s,23h23m18s,8x8,,,ZP3+Ж.Ф.N1
27-6368-b,GrG-235  ([FWB89] GrG 235),12 30 00.0,26 00 00,01-02.06.1988,2.5m,23h33m30s,23h38m30s,7.8x8,,,ZP3+Ж.Ф.N2
23-6369-a,GrG-235  ([FWB89] GrG 235),12 30 00.0,26 00 00,01-02.06.1988,5m,23h53m,23h58m,7.8x7.8,,,ZP3+Ж.Ф.N1
23-6369-b,GrG-235  ([FWB89] GrG 235),12 30 00.0,26 00 00,01-02.06.1988,5m,00h02m30s,00h07m30s,7.4x8.8,,,ZP3+Ж.Ф.N1
23-6370-a,GrG-235  ([FWB89] GrG 235),12 30 00.0,26 00 00,06-07.06.1988,8m,23h34m,23h42m,7.4x8.8,,,ZP3+Ж.Ф.N2
23-6373-a,M92,17 17 07.39,43 08 09.4,13-14.06.1988,11m,23h49m,00h01m,7.9x8,,,"f(3)05,ZP3+Ж.Ф.IVI (10x10), ММК"
23-6375-a,M27   (The Dumbells),19 59 36.36,22 43 16.31,15-16.06.1988,20m,23h44m05s,00h04m05s,8x8,,,"tbegin=21; tend=18,ZP3+Ж.Ф.N1(10x10)"
27-6398-b,alf-Aqr,22 05 47.03,-00 19 11.45,10-11.09.1988,8m,22h41m30s,22h49m30s,7.8x8,,,"IBaD+ЖС18,f(2)35"
27-6398-a,Omega,18h20m26s,-16.10,10-11.09.1988,8m,22h15m30s,22h23m30s,7.9x8,,,"t=18,IBaD+ЖС18,f(2)35"
27-6399-a,Omega,18h20m26s,-16.10,11-12.09.1988,7m,22h41m30s,22h48m30s,7.3x8,,,"103aD ЖС18, f(2)38"
27-6399-b,alf-Aqr,22 05 47.03,-00 19 11.45,11-12.09.1988,7m,23h14m30s,23h21m30s,8x8,,,"103aD ЖС18, f(2)38"
27-6400-a,Omega-NGC6611,18 18 45.1,-13 47 31,12-13.09.1988,8m,22h38m30s,22h46m40s,7.7x7.8,,,"103aE+крф№2,t=20,f(3)98"
27-6400-b,alf-Aqr,22 05 47.03,-00 19 11.45,12-13.09.1988,8m,23h14m33s,23h22m33s,7.8x8,,,"103aE+крф№2,t=20,f(3)60"
27-6401-a,Omega,18h20m26s,-16.10,15-16.09.1988,12m,22h29m,22h41m,6.9x7.7,,,"103aE+крф№2,t=15,f(3)94"
27-6401-b,alf-Aqr,22 05 47.03,-00 19 11.45,15-16.09.1988,12m,22h51m04s,23h03m04s,8x8,,,"103aE+крф№2,t=10,f(2)50"
,,,,,,,,,,,
27-коробка калибровочные кадры для определенных объектов снятые для измерения шума в поле. В середине для объекта и вокруг слабые точки для поле. ,,,,,,,,,,,
