Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
27S-2.1,Bradfield (C/2004 T4),,,23-24.12.1987,15m,21h21,21h36,9x12,Большой Шмидт,Солодовников В.В.,0.засвет по центру,,,,,,,,,,,,,,
27S-3.1,Bradfield (C/2004 T4),,,23-24.12.1987,15m,21h38,21h53,9x12,Большой Шмидт,Солодовников В.В.,0. царапина,,,,,,,,,,,,,,
27S-2.2,Bradfield (C/2004 T4),,,23-24.12.1987,15m,21h55,22h10,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
27S-3.2,Borrelly / 19P,,,23-24.12.1987,15m,0h55,1h10,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
27S-2.3,Borrelly / 19P,,,23-24.12.1987,15m,1h13,1h28,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
27S-2.4,Star(Aur),5h30,32.00,23-24.12.1987,11m,2h21,2h32,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
27S-1-cal,Calibrovka,,,23-24.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.1,Bradfield (C/2004 T4),,,9-10.12.1987,15m,20h43,20h58,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-3.1,Bradfield (C/2004 T4),,,9-10.12.1987,9m,20h58,21h07,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-1-st,Star(Del),,,12-13.12.1987,15m,20h33,20h48,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2-st,Star(Del),,,12-13.12.1987,20m,22h09,22h29,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.1,Bradfield (C/2004 T4),,,12-13.12.1987,15m,19h15,19h30,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.2,Bradfield (C/2004 T4),,,12-13.12.1987,15m,19h51,20h06,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.3,Bradfield (C/2004 T4),,,12-13.12.1987,20m,21h26,21h46,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-3.3,Bradfield (C/2004 T4),,,12-13.12.1987,38m,22h41,23h19,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.4,Bradfield (C/2004 T4),,,12-13.12.1987,20m,23h33,23h53,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-3.1,Bradfield (C/2004 T4),,,13-14.12.1987,15m,20h30,20h45,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.1,Bradfield (C/2004 T4),,,13-14.12.1987,15m,20h48,21h03,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2.2,Bradfield (C/2004 T4),,,13-14.12.1987,12m,21h28,21h40,9x12,Большой Шмидт,Солодовников В.В.,0. пятная на пластинке,,,,,,,,,,,,,,
28S-1-st,Star(Del),,,13-14.12.1987,15m,21h08,21h23,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-1-cal,Calibrovka,,,13-14.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-2-cal,Calibrovka,,,13-14.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
28S-3-cal,Calibrovka,,,13-14.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.2,galaxy(UMa),10h00,70.00,04-05.09.1986,,0h14,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
29S-3.2,Star(Cap),20h00,-20.00,04-05.09.1986,,0h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.3,Star(Cap),20h00,-15.00,04-05.09.1986,10m,0h57,1h07,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.3,Star(Cap),20h00,-10.00,04-05.09.1986,10m,1h10,1h20,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.4,Star(Cap),20h00,-5.00,04-05.09.1986,16m,1h20,1h36,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.4,Star(Cap),20h00,0.00,04-05.09.1986,10m,1h36,1h46,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.5,Star(Aql),20h00,5.00,04-05.09.1986,10m,1h50,2h00,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.1,Star(UMa),10h30,65.00,06-07.09.1986,,22h57,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.3,Star(UMa),10h30,-90.00,06-07.09.1986,,23h52,,9x12,Большой Шмидт,Солодовников В.В.,0. разводы,,,,,,,,,,,,,,
29S-2.2,Star(UMa),10h30,60.00,06-07.09.1986,10m,23h25,23h35,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.4,Star(UMa),10h30,80.00,06-07.09.1986,10m,0h17,0h27,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.2,Star(UMa),11h00,60.00,06-07.09.1986,,22h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.3,Star(UMa),10h30,65.00,06-07.09.1986,,23h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.4,Star(UMa),10h30,24.03,06-07.09.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.5,Star(UMa),10h30,70.00,06-07.09.1986,,0h41,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.5,Star(UMa),10h30,75.00,06-07.09.1986,,0h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.6,Star,20h00,0.00,06-07.09.1986,,0h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.6,Star,19h30,0.00,06-07.09.1986,,1h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.1,Star(UMa),10h30,55.00,07-08.09.1986,13m,0h09,0h22,9x12,Большой Шмидт,Солодовников В.В.,0.передержана,,,,,,,,,,,,,,
29S-3.1,Star(UMa),10h30,60.00,07-08.09.1986,10m,0h23,0h33,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.2,Star(UMa),10h30,65.00,07-08.09.1986,10m,0h34,0h44,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.2,Star(UMa),10h30,70.00,07-08.09.1986,10m,0h48,,9x12,Большой Шмидт,Солодовников В.В.,0. разводы,,,,,,,,,,,,,,
29S-2.3,Star(UMa),10h30,75.00,07-08.09.1986,10m,0h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.3,Star(UMa),10h30,80.00,07-08.09.1986,10m,1h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.4,Star(UMa),10h30,78.30,07-08.09.1986,10m,1h33,,9x12,Большой Шмидт,Солодовников В.В.,0. царапина,,,,,,,,,,,,,,
29S-3.4,Star(UMa),10h30,90.00,07-08.09.1986,10m,1h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.5,Star(UMa),11h30,90.00,07-08.09.1986,,1h45,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.5,Star(UMa),11h30,85.00,07-08.09.1986,,1h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.6,Star(UMa),11h30,80.00,07-08.09.1986,,2h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.6,Star(UMa),11h30,75.00,07-08.09.1986,,2h23,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.7,Star(UMa),11h30,70.00,07-08.09.1986,,2h23,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.7,Star(UMa),11h30,65.00,07-08.09.1986,,2h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.3,Star(gam Crv),,,12.04.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.1,Star(alf Aur),,,12.04.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.3,Star(del Crv),,,12.04.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.2,Star(alf Wirg),,,12.04.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.2,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.2,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.3,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.3,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-2.4,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
29S-3.4,Star(Aqr),,,16-17.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.1,Star(UMa),10h00,70.00,05-06.09.1986,10m,23h02,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.2,Star(UMa),10h00,65.00,05-06.09.1986,10m,23h15,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.2,Star(UMa),10h30,65.00,05-06.09.1986,11m,23h27,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.3,Star(UMa),10h30,70.00,05-06.09.1986,10m,23h40,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.3,Star,9h30,70.00,05-06.09.1986,10m,23h53,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.4,Star,9h30,65.00,05-06.09.1986,10m,0h06,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.4,Star(Cap),20h00,-25.00,05-06.09.1986,10m,0h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.5,Star(Cap),20h00,-15.00,05-06.09.1986,10m,0h34,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.5,Star,20h00,-10.00,05-06.09.1986,10m,0h46,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.6,Star,20h00,-5.00,05-06.09.1986,10m,0h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.6,Star,20h00,0.00,05-06.09.1986,10m,1h15,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.7,Star,20h00,5.00,05-06.09.1986,10m,1h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.7,Star,20h30,5.00,05-06.09.1986,10m,2h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.8,Star,20h30,0.00,05-06.09.1986,10m,2h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.8,Star,20h30,-5.00,05-06.09.1986,10m,2h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-3.9,Star,20h30,-10.00,05-06.09.1986,10m,2h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
30S-2.9,Star,20h30,-15.00,05-06.09.1986,10m,2h59,,9x12,Большой Шмидт,Солодовников В.В.,0. пятна,,,,,,,,,,,,,,
31S-2.1,Star,10h30,85.00,08-09.09.1986,,0h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-3.1,Star,10h30,85.00,08-09.09.1986,,0h31,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-2.2,Star,23h00,-5.00,10-11.09.1986,10m,1h39,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-3.2,Star,23h00,-5.00,10-11.09.1986,10m,1h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-3.3,Star(UMa),10h30,85.00,10-11.09.1986,10m,3h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-2.4,Star(UMa),10h30,85.00,10-11.09.1986,10m,3h54,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-3.4,Star(UMa),10h30,85.00,10-11.09.1986,10m,4h06,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-2.5,Star(UMa),10h30,85.00,10-11.09.1986,10m,3h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-2.3,Star(UMa),10h30,85.00,10-11.09.1986,10m,4h13,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
31S-3.5,Star,23h00,-6.00,10-11.09.1986,,4h41,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.1,Star,23h00,-5.00,09-10.09.1986,,2h31,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
32S-3.1,Star,23h00,15.00,09-10.09.1986,,2h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.1,Star(alf Peg),23h00,15.00,08-09.09.1986,10m,0h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-3.1,Star,23h00,10.00,08-09.09.1986,10m,0h31,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.2,Star,23h00,5.00,08-09.09.1986,10m,0h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-3.2,Star,23h00,10.00,08-09.09.1986,12m,0h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.3,Star,23h00,-5.00,08-09.09.1986,10m,1h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-3.3,Star,23h00,-10.00,08-09.09.1986,10m,1h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.4,Star,23h00,-15.00,08-09.09.1986,10m,1h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-3.4,Star,23h00,-20.00,08-09.09.1986,10m,1h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
32S-2.5,Star(eps Peg),23h00,-25.00,08-09.09.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.1,Star,23h00,-20.00,25-26.11.1986,10m,22h21,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.1,Star,23h00,-15.00,25-26.11.1986,10m,22h46,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.2,Star,23h00,-10.00,25-26.11.1986,10m,23h00,,9x12,Большой Шмидт,Солодовников В.В.,0. засветка,,,,,,,,,,,,,,
33S-3.2,Star,23h00,-5.00,25-26.11.1986,10m,23h13,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.3,Star,23h00,0.00,25-26.11.1986,10m,23h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.3,Star,23h00,5.00,25-26.11.1986,10m,23h34,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.4,Star,23h00,10.00,25-26.11.1986,10m,23h53,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.4,Star,23h00,15.00,25-26.11.1986,10m,0h06,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.5,Star,23h00,25.00,25-26.11.1986,10m,0h31,,9x12,Большой Шмидт,Солодовников В.В.,0. плохая,,,,,,,,,,,,,,
33S-2.6,Star,23h00,30.00,25-26.11.1986,10m,0h44,,9x12,Большой Шмидт,Солодовников В.В.,0. засветка,,,,,,,,,,,,,,
33S-3.6,Star,23h00,35.00,25-26.11.1986,10m,0h57,,9x12,Большой Шмидт,Солодовников В.В.,0. засветка,,,,,,,,,,,,,,
33S-2.7,Star,23h00,40.00,25-26.11.1986,10m,1h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.7,Star,23h00,45.00,25-26.11.1986,10m,1h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.8,Star,23h00,50.00,25-26.11.1986,10m,1h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.8,Star,23h00,55.00,25-26.11.1986,10m,2h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.2,Star,23h00,-5.00,26-27.11.1986,10m,22h31,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.3,Star,23h00,0.00,26-27.11.1986,10m,22h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.3,Star,23h00,5.00,26-27.11.1986,10m,22h54,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.4,Star,23h00,10.00,26-27.11.1986,10m,23h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.4,Star,23h00,15.00,26-27.11.1986,10m,23h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.5,Star,23h00,20.00,26-27.11.1986,10m,23h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.5,Star,23h00,25.00,26-27.11.1986,10m,23h41,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.6,Star,23h00,30.00,26-27.11.1986,10m,23h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.6,Star,23h00,35.00,26-27.11.1986,10m,0h04,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.8,Star,23h00,50.00,26-27.11.1986,10m,0h40,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.9,Star,23h00,60.00,26-27.11.1986,10m,2h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-3.9,Star,23h00,65.00,25-26.11.1986,10m,2h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
33S-2.10,Star,23h00,70.00,26-27.11.1986,10m,1h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.1,Star,5h30,-25.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.1,Star,5h30,-20.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.2,Star,5h30,-15.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.2,Star,5h30,-10.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.3,Star,5h30,-5.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.3,Star,5h30,0.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.4,Star,5h30,5.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.4,Star,5h30,10.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.5,Star,5h30,15.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.5,Star,5h30,20.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.6,Star,5h30,25.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.6,Star,5h30,30.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.7,Star,5h30,35.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,0. чернила,,,,,,,,,,,,,,
34S-3.7,Star,5h30,40.00,07-08.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.1,Star,5h30,-25.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.1,Star,5h30,-25.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.2,Star,5h30,-20.00,08-09.12.1986,10m,1h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.2,Star,5h30,-15.00,08-09.12.1986,10m,1h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.3,Star,5h30,-10.00,08-09.12.1986,10m,1h32,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.3,Star,5h22,-12.00,08-09.12.1986,10m,1h45,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.4,Star,5h30,0.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.5,Star,5h30,20.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.5,Star,5h38,19.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.6,Star,5h30,25.00,08-09.12.1986,10m,2h50,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.6,Star,5h00,-20.00,08-09.12.1986,10m,3h05,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.7,Star,5h00,-15.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.7,Star,5h00,-20.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.8,Star,5h00,-5.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.8,Star,5h00,0.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.9,Star,5h00,5.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.9,Star,5h00,10.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.10,Star,5h00,15.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.10,Star,5h00,20.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.11,Star,5h00,25.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.11,Star,5h00,30.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.12,Star,5h00,35.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.1,Star(UMa),14h00,65.00,27-28.08.1986,10m,22h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.1,Star(UMa),14h00,60.00,27-28.08.1986,10m,22h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,Star(UMa),14h00,55.00,27-28.08.1986,10m,23h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,Star(UMa),14h00,50.00,27-28.08.1986,10m,23h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,Star(UMa),14h00,45.00,27-28.08.1986,10m,23h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.3,Star(UMa),16h00,15.00,27-28.08.1986,9m,23h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(Ser),16h00,-20.00,27-28.08.1986,7m,0h05,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(Del),,,27-28.08.1986,8m,0h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.1,Star(UMa),14h00,65.00,28-29.08.1986,9m,23h02,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.1,Star(UMa),14h00,60.00,28-29.08.1986,9.5m,23h15,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,Star(UMa),14h00,55.00,28-29.08.1986,9m,23h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,Star(UMa),14h00,50.00,28-29.08.1986,9m,23h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,Star(UMa),14h00,45.00,28-29.08.1986,9m,23h49,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.3,Star(UMa),14h00,40.00,28-29.08.1986,9m,0h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(UMa),14h00,40.00,28-29.08.1986,9m,0h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(UMa),14h00,45.00,28-29.08.1986,9m,0h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.5,Star(UMa),13h30,50.00,28-29.08.1986,9m,0h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.5,Star(UMa),13h30,55.00,28-29.08.1986,9m,0h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.6,Star(UMa),13h30,60.00,28-29.08.1986,9m,0h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
