Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
6S-2.11,Star,0h00,40.00,28-29.09.1987,10m,3h59,4h09,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.11,Star,0h00,45.00,28-29.09.1987,10m,4h10,4h20,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-2.12,Star,0h00,50.00,28-29.09.1987,10m,4h21,4h31,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.12,Star,0h00,55.00,28-29.09.1987,11m,4h33,4h44,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-2.13,Star,0h00,60.00,28-29.09.1987,10m,4h45,4h55,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.13,Star,0h00,65.00,28-29.09.1987,9m,4h55,5h04,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-2.14,Star,0h00,70.00,28-29.09.1987,9m,5h06,5h15,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.14,Star,0h00,75.00,28-29.09.1987,10m,5h17,5h27,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-2.15,Star,0h00,80.00,28-29.09.1987,10m,5h24,5h34,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.15,Star,0h00,85.00,28-29.09.1987,9m,5h40,5h49,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-2.16,Star,0h00,90.00,28-29.09.1987,10m,5h52,6h02,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
6S-3.16,Star,12h00,85.00,28-29.09.1987,10m,6h09,6h19,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.1,Star,7h08,-25.00,24-25.01.1987,10m,21h23,21h33,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.1,Star,7h04,-15.00,24-25.01.1987,10m,21h37,21h47,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.2,Star,7h04,-5.00,24-25.01.1987,10m,21h50,22h00,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.2,Star,7h04,-5.00,24-25.01.1987,10m,22h03,22h13,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.3,Star,7h04,-11.45,24-25.01.1987,15m,22h19,22h34,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.3,Star,7h04,5.00,24-25.01.1987,15m,22h43,22h58,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.4,Star,6h56,17.00,24-25.01.1987,10m,23h00,23h10,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.4,Star,6h56,17.00,24-25.01.1987,10m,23h12,23h22,9x12,Большой Шмидт,Солодовников В.В.,0. сколы,,,,,,,,,,,,,,
7S-2.5,Star,7h30,-25.00,24-25.01.1987,10m,23h29,23h39,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.5,Star,7h30,-20.00,24-25.01.1987,10m,23h41,23h51,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.6,Star,7h30,-15.00,24-25.01.1987,10m,23h53,0h03,9x12,Большой Шмидт,Солодовников В.В.,0. разводы,,,,,,,,,,,,,,
7S-3.6,Star,7h30,-10.00,24-25.01.1987,12m,0h06,0h18,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.7,Star,7h30,-5.00,24-25.01.1987,10m,0h19,0h29,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.7,Star,7h30,0.00,24-25.01.1987,10m,0h31,0h41,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.8,Star,7h30,5.00,24-25.01.1987,10m,0h42,0h52,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.8,Star,7h30,10.00,24-25.01.1987,10m,0h54,1h04,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.9,Star,7h30,18.00,24-25.01.1987,10m,1h07,1h17,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,,,,,,,,,,,,,,
7S-3.9,Star,7h30,20.00,24-25.01.1987,10m,1h20,1h30,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.10,Star,7h30,15.00,24-25.01.1987,10m,1h55,2h05,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-3.10,Star,7h30,20.00,24-25.01.1987,10m,2h05,2h15,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.11,Star,7h30,35.00,24-25.01.1987,10m,2h16,2h26,9x12,Большой Шмидт,Солодовников В.В.,0. сколы,,,,,,,,,,,,,,
7S-3.11,Star,7h30,40.00,24-25.01.1987,10m,2h28,2h38,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
7S-2.12,Star,7h30,45.00,24-25.01.1987,10m,2h41,2h51,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.1,Star,8h00,-25.00,29-30.01.1987,10m,22h45,22h55,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.1,Star,8h00,-20.00,29-30.01.1987,10m,22h57,23h07,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.2,Star,8h00,-15.00,29-30.01.1987,10m,23h09,23h19,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.2,Star,8h00,-10.00,29-30.01.1987,10m,23h21,23h31,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.3,Star,8h00,-5.00,29-30.01.1987,10m,23h33,23h43,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.3,Star,8h00,0.00,29-30.01.1987,10m,23h45,23h55,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.4,Star,8h00,5.00,29-30.01.1987,10m,23h57,0h07,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.4,Star,8h00,10.00,29-30.01.1987,10m,0h09,0h19,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.5,Star,8h00,15.00,29-30.01.1987,10m,0h21,0h31,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.5,Star,8h00,20.00,29-30.01.1987,10m,0h33,0h43,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.6,Star,8h00,25.00,29-30.01.1987,10m,0h49,0h59,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.6,Star,8h00,30.00,29-30.01.1987,10m,1h05,1h15,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.7,Star,8h00,35.00,29-30.01.1987,10m,1h18,1h28,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-3.7,Star,8h00,40.00,29-30.01.1987,10m,1h30,1h40,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
