ID,OBJECT,OBJECT-TYPE,RA,DEC,DATE-OBS,EXPTIME,EXPTIME_initial,TMS-LST,TME-LST,TMS-LT,TME-LT,TELESCOPE,Решетка,Щель,ЭОП,Коллиматор,Масштаб камеры,Катод,Камера,Позиционный угол,Сечение,Спектрограф,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,Длины волн,FILTER,PLATNOTE,RA-sim,DEC-sim,EQ-ORIG-sim
XI-5-1,MRK1;NGC449;Sy2,active_galactic_nuclei,01 13 19.57,32 49 32.35,28-29.12.1970,10m,10m,4h05m,4h15m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,"Очень трудно установка из-за соседних ярких звезд.(ЭОП-зеленый-М1:2,15-решетка600ист/мм -II-порядок-щель0,3мм-Каллимотор 1.4м-камера красная-f=150-калибр.ступенч.ослобитель3мм-)",,,H alpha,линия спектра передержана,01 16 07.21,33 05 21.64,2000
XI-5-2,MRK2,galaxies,01 51 56.32,36 40 22.79,28-29.12.1970,10m,10m,4h44m,4h54m,  ,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,01 54 53.80,36 55 04.64,2000
XI-5,Field MRK2,galaxies; field-of-view,01 51 56.32,36 40 22.79,28-29.12.1970,3s,3s,5h32m,5h52m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,01 54 53.80,36 55 04.64,2000
XI-5-13,MRK3,active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,5m,5m,8h41m,8h44m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5-14,MRK3,active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,6m,6m,8h45m,8h51m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5,Field MRK3,field-of-view; active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,3s,3s,,,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,"Небо у А4,3сек",,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5-16,MRK7,galaxies,07 22 18.85,72 40 27.39,28-29.12.1970,10m,10m,9h25m,9h35m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,07 28 11.45,72 34 23.18,2000
XI-5,Field MRK7,galaxies; field-of-view,07 22 18.85,72 40 27.39,28-29.12.1970,3s,3s,,,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,07 28 11.45,72 34 23.18,2000
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,15s,15s,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,2000
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,30s,30s,,,,,,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,,,
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,1m,1m,,,,,,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,,,
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,3m,3m,,,,,,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-5-10,MRK1;NGC449,active_galactic_nuclei,01 13 19.57,32 49 32.35,18-19.10.1971,15m,15m,4h26m,4h31m,,,AZT-8,;600;II;90;большая дисперсия,"0,3",,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,01 16 07.21,33 05 21.64,2000
XI-5-11,MRK1,active_galactic_nuclei,01 13 19.57,32 49 32.35,18-19.10.1971,20s,20s,4h02m,4h17m,,,AZT-8,;600;II;90;большая дисперсия,"0,3",,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,спектр сравнения,,,,,01 16 07.21,33 05 21.64,2000
XI-5-12,MRK1,active_galactic_nuclei,01 13 19.57,32 49 32.35,18-19.10.1971,15s,15s,4h17m,4h22m,,,AZT-8,;600;I;90;малая дисперсия,"0,3",,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,спектр сравнения,,,,,01 16 07.21,33 05 21.64,2000
XI-5-13,MRK1;NGC449,active_galactic_nuclei,01 13 19.57,32 49 32.35,18-19.10.1971,15m,15m,5h00m,,,,AZT-8,;600;I;90;малая дисперсия,"0,3",,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,01 16 07.21,33 05 21.64,2000
XI-5-1,MRK1,active_galactic_nuclei,01 13 19.57,32 49 32.35,20-21.10.1971,20m,20m,3h27m,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,01 16 07.21,33 05 21.64,2000
XI-5-2,MRK1,active_galactic_nuclei,01 13 19.57,32 49 32.35,20-21.10.1971,15m,15m,3h53m,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,01 16 07.21,33 05 21.64,2000
XI-5,MRK380;QSOB0713+745,galaxies; active_galactic_nuclei,07 13 29.40,74 33 26.08,02-03.12.1973,45m,45m,2h05m,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 19 50.83,74 27 57.06,2000
XI-5,MRK378,galaxies; active_galactic_nuclei,07 13 19.79,49 46 59.6,02-03.12.1973,45m,45m,3h10m,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 17 08.20,49 41 36.64,2000
XI-5,MRK391;NGC2691,galaxies; active_galactic_nuclei,08 51 32.28,39 43 46.73,02-03.12.1973,12m,12m,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,08 54 46.30,39 32 19.66,2000
XI-5,MRK381;SBSS0749+583,stars; galaxies; active_galactic_nuclei,07 49 35.27,58 22 50.06,02-03.12.1973,15m,15m,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 53 44.65,58 15 00.85,2000
XI-6,MRK11,galaxies; active_galactic_nuclei,07 43 17.30,74 27 31.59,28-29.12.1970,8m,8m,9h42m,9h50m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,07 49 24.94,74 20 03.10,2000
XI-6,MRK12,galaxies; active_galactic_nuclei,07 44 42.61,74 29 01.31,28-29.12.1970,7m,7m,10h13m,10h20m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 50 49.94,74 21 27.35,2000
XI-6,MRK27,galaxies,10 08 31.70,58 58 53.0,28-29.12.1970,15m,15m,11h00m,11h15m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,установка не уверено ,,,,,10 11 56.39,58 44 03.8,2000
XI-6,Field MRK27,galaxies; field-of-view,10 08 31.70,58 58 53.0,28-29.12.1970,3s,3s,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,10 11 56.39,58 44 03.8,2000
XI-6,MRK36,galaxies; active_galactic_nuclei,11 02 15.42,29 24 28.43,28-29.12.1970,15m,15m,11h40m,11h55m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,11 04 58.29,29 08 16.54,2000
XI-6,Field MRK36,galaxies; field-of-view; active_galactic_nuclei,11 02 15.42,29 24 28.43,28-29.12.1970,3s,3s,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,11 04 58.29,29 08 16.54,2000
XI-6-Cal,Calibration,calibration,,,28-29.12.1970,1m,1m,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,калибровочное время не совпадает по интенсивностям,,,,,,,2000
XI-6-Cal,Calibration,calibration,,,28-29.12.1970,3m,3m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,передержана,,,
XI-6-Cal,Calibration,calibration,,,28-29.12.1970,3s,3s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-6-Cal,Calibration,calibration,,,28-29.12.1970,12s,12s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-6-Cal,Calibration,calibration,,,28-29.12.1970,30s,30s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-6-1,MRK1;NGC449;Sy2,active_galactic_nuclei,01 13 19.57,32 49 32.35,29-30.12.1970,20m,20m,3h45m,4h05m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,"Все тот же что 28/29 но чуть сдвинута спектр область в красную часть ,(ЭОП-зеленый…каллиматор 1.5м...)",,,,,01 16 07.21,33 05 21.64,2000
XI-6-2,MRK7,galaxies,07 22 18.85,72 40 27.39,29-30.12.1970,20m,20m,4h37m,4h57m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 28 11.45,72 34 23.18,2000
XI-6-3,MRK11,galaxies; active_galactic_nuclei,07 43 17.30,74 27 31.59,29-30.12.1970,14m,14m,5h13m,5h28m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,07 49 24.94,74 20 03.10,2000
XI-6-8,MRK12,galaxies; active_galactic_nuclei,07 44 42.61,74 29 01.31,29-30.12.1970,15m,15m,10h01m,10h16m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,07 50 49.94,74 21 27.35,2000
XI-6-9,MRK12,galaxies; active_galactic_nuclei,07 44 42.61,74 29 01.31,29-30.12.1970,15m,15m,10h46m,11h01m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,"Hbetta, chel'0,4mm",,,,,07 50 49.94,74 21 27.35,2000
XI-6-10,MRK11,galaxies; active_galactic_nuclei,07 43 17.30,74 27 31.59,29-30.12.1970,15m,15m,11h15m,11h30m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,07 49 24.94,74 20 03.10,2000
XI-6,MRK34,active_galactic_nuclei,10 30 51.47,60 17 22.15,29-30.12.1970,20m,20m,11h50m,12h10m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,10 34 08.60,60 01 52.33,2000
XI-6-Cal,Calibration,calibration,,,29-30.12.1970,10s,10s,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,2000
XI-6-Cal,Calibration,calibration,,,29-30.12.1970,40s,40s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-6-Cal,Calibration,calibration,,,29-30.12.1970,2m,2m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
XI-6-10,IC2120,h-ii-regions,05 19 10.3,38 11 06,29-30.12.1970,5m,5m,8h04m,8h09m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,05 18 10.30,37 33 27.4,2000
XI-6-11,IC2120,h-ii-regions,05 19 10.3,38 11 06,29-30.12.1970,10m,10m,8h10m,8h20m,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,05 18 10.30,37 33 27.4,2000
XI-6,Field IC2120,field-of-view; h-ii-regions,05 19 10.3,38 11 06,29-30.12.1970,3s,3s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,NGC838,active_galactic_nuclei,02 07 11.24,-10 22 55.21,26-27.08.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,"щель по альфа, очень низко()",,,,,,,
VI-1,NGC838,active_galactic_nuclei,02 07 11.24,-10 22 55.21,26-27.08.1973,22m,22m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5800-6000,,,,,,,
VI-1,NGC838,active_galactic_nuclei,02 07 11.24,-10 22 55.21,26-27.08.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,3800-6400,,,,,,,
VI-1,NGC838,active_galactic_nuclei,02 07 11.24,-10 22 55.21,26-27.08.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,4000-7000,,,,,,,
VI-1,Field NGC838;NGC839 ,galaxies; field-of-view; active_galactic_nuclei,02 07 11.24,-10 22 55.21,26-27.08.1973,1m,1m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,NGC7679,active_galactic_nuclei,23 26 13.460,03 14 08.7,28-29.08.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5600-8000(спектр слабый),,,,,,,
VI-1,Sharov 1,comets,,,28-29.08.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,Sharov 1,comets,,,28-29.08.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,NGC838-839,active_galactic_nuclei,02 07 11.24,-10 22 55.21,28-29.08.1973,15m,15m ,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5700-7200 хорошая экспозиция,,,,,,,
VI-1,QSOy627,active_galactic_nuclei,,,28-29.08.1973,30m,30m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5700-7400,,,,,,,
VI-1,MRK488,galaxies,15 38 30.85,35 05 12.4,20-21.10.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5700-7600,,,,,,,
VI-1,MRK494,galaxies,15 58 30.82,30 31 00.43,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5700-7600,,,,,,,
VI-1,MRK371,galaxies; active_galactic_nuclei,02 45 13.8,-01 07 46,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5300-7000,,,,,,,
VI-1,MRK372;IC1854,galaxies; active_galactic_nuclei,02 46 31.3803,19 05 49.46,20-21.10.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5300-7000,,,,,,,
VI-1,MRK498,galaxies,16 17 00.6,52 58 13.2,25-26.09.1973,30m,30m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5800-8100,,,,,,,
VI-1,MRK31;NGC3188,galaxies; active_galactic_nuclei,10 16 23.8,57 40 28.8,26-27.08.1973,"1m,5m","1m,5m",,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,MRK380;QSOB0713+745,galaxies; active_galactic_nuclei,07 13 29.401,74 33 26.08,22-23.11.1973,30m,30m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,MRK378,galaxies; active_galactic_nuclei,07 13 19.79,49 46 59.69,22-23.11.1973,30m,30m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5400-8000 (isporchen kadr),,,,,,,
VI-1,MRK293,galaxies,15 57 30.27,18 52 27.16,22-23.11.1973,,,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-1,NGC7640,galaxies,23 22 06.5,40 50 43.11,28-29.08.1973,13m,13m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5800-8000,,,,,,,
VI-1,Field NGC7640,galaxies; field-of-view,23 22 06.5,40 50 43.11,28-29.08.1973,10s,10s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-2,NGC838-839,active_galactic_nuclei,02 07 11.24,-10 22 55.21,28-29.08.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-2,близ пара квинтет Стефана,,,,28-29.08.1973,12m,12m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5700-7200,,,,,,,
VI-2,1Psc,,"1h15,m2",3:21,28-29.08.1973,,,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-2,Sharov1,comets,,,28-29.08.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-2,Sharov1,comets,,,28-29.08.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK333;NGC7805,galaxies; active_galactic_nuclei,23 58 52.9,31 09 19.57,25-26.12.1973,20m,20m,21h41m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5900-6000,,,,,,,
VI-3,MRK337,galaxies; active_galactic_nuclei,00 09 08.24,20 41 50.40,25-26.12.1973,15m,15m,22h10m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5900-8000,,,,,,,
VI-3,MRK344,active_galactic_nuclei,00 35 53.6,23 20 18.59,25-26.12.1973,20m,20m,22h31m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK320,stars; galaxies; active_galactic_nuclei,23 17 36.154,26 49 57.935,25-26.12.1973,20m,20m,20h10m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK327,galaxies; active_galactic_nuclei,23 34 35.8,23 03 08.36,25-26.12.1973,20m,20m,20h40m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5900-8000,,,,,,,
VI-3,MRK329,galaxies; active_galactic_nuclei,23 36 18.30,23 04 12.05,25-26.12.1973,30m,30m,21h18m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5900-8000,,,,,,,
VI-3,MRK378,galaxies; active_galactic_nuclei,07 13 19.798,49 46 59.69,28-29.12.1973,7m,7m,23h-,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5900-8000,,,,,,,
VI-3,NGC7640,galaxies,23 19 42.563,40 34 15.59,25-26.09.1973,20m,20m,0h42m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,4100-7500,,,,,,,
VI-3,MRK605,galaxies; active_galactic_nuclei,03 13 06.6,-03 39 13.5,22-23.02.1974,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK608E( NGC 1321 ),galaxies; active_galactic_nuclei,03 22 17.64,-03 11 28.41,22-23.02.1974,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK608E( NGC 1321 ),galaxies; active_galactic_nuclei,03 22 17.64,-03 11 28.41,22-23.02.1974,7m,7m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK608W,galaxies; active_galactic_nuclei,03 22 17.64,-03 11 28.41,22-23.02.1974,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK608; MRK607 Field ,galaxies; field-of-view; active_galactic_nuclei,03 22 17.64,-03 11 28.41,22-23.02.1974,7s,7s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-3,MRK337,galaxies; active_galactic_nuclei,00 09 08.24,20 41 50.40,22-23.02.1974,30m,30m,0h15m,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK374,galaxies; active_galactic_nuclei,06 55 34.541,54 15 56.71,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,6300-7000,,,,,,,
VI-4,Field MRK374,galaxies; field-of-view; active_galactic_nuclei,06 55 34.541,54 15 56.71,20-21.10.1973,5s,5s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,Field MRK374,galaxies; field-of-view; active_galactic_nuclei,06 55 34.541,54 15 56.71,20-21.10.1973,3s,3s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK376,galaxies; active_galactic_nuclei,07 10 36.18,45 47 07.32,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,QSOy619,active_galactic_nuclei,,,20-21.10.1973,30m,30m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK335,active_galactic_nuclei,00 03 45.2,19 55 28.69,20-21.10.1973,3m,3m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK335,active_galactic_nuclei,00 03 45.2,19 55 28.69,20-21.10.1973,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK335,active_galactic_nuclei,00 03 45.2,19 55 28.69,20-21.10.1973,5m,5m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,MRK352,active_galactic_nuclei,00 57 09.10,31 33 27.6,20-21.10.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,6300-7000,,,,,,,
VI-4,MRK504,active_galactic_nuclei,16 59 10.4,29 28 43.26,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5600-7600,,,,,,,
VI-4,MRK486,active_galactic_nuclei,15 35 20.793,54 43 22.14,20-21.10.1973,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,5600-7600,,,,,,,
VI-4,MRK304,galaxies; active_galactic_nuclei,22 14 45.85,13 59 20.18,20-21.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,6300-7000,,,,,,,
VI-4,NGC7679,active_galactic_nuclei,23 26 13.4,03 14 08.79,22-23.09.1973,25m,25m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,NGC7682,active_galactic_nuclei,23 26 30.6,03 15 27.62,22-23.09.1973,50m,50m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,NGC7640,galaxies,23 19 42.563,40 34 15.592,22-23.09.1973,35m,35m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,Field NGC7640,galaxies; field-of-view,23 19 42.563,40 34 15.592,22-23.09.1973,15s,15s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,CygX-1,,,,25-26.10.1973,20m,20m,21h55,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,CygX-1,,,,25-26.10.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,CygX-1,,,,25-26.10.1973,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,CygX-1,,,,25-26.10.1973,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-4,Spectr sravnenya,,,,25-26.10.1973,15s,15s,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,Mars,,,,29-30.10.1973,,,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,16Cam,,5h19.m2,57o30,29-30.11.1973,,,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK380(QSO B0713+745 ),galaxies; active_galactic_nuclei,07 13 29.401,74 33 26.08,29-30.11.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK378,galaxies; active_galactic_nuclei,07 13 19.79,49 46 59.6,29-30.11.1973,25m,25m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK381(SBSS 0749+583 ),stars; galaxies; active_galactic_nuclei,07 49 35.27,58 22 50.06,29-30.11.1973,25m,25m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK388(V* AT Cnc),stars; galaxies; active_galactic_nuclei; multiply-stars,08 25 37.77,25 30 02.89,29-30.11.1973,1m,1m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK388,stars; galaxies; active_galactic_nuclei; multiply-stars,08 25 37.77,25 30 02.89,29-30.11.1973,2m,2m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK398,galaxies; active_galactic_nuclei,09 21 52.061,17 52 44.80,29-30.11.1973,3m,3m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK391(NGC 2691 ),galaxies; active_galactic_nuclei,08 51 32.28,39 43 46.73,29-30.11.1973,21m,21m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK391,galaxies; active_galactic_nuclei,08 51 32.28,39 43 46.73,29-30.11.1973,5m,5m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK396,stars; galaxies; active_galactic_nuclei,09 21 12.02,35 29 46.63,29-30.11.1973,10m,10m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK395,galaxies; active_galactic_nuclei,09 18 44.32,33 31 28.36,29-30.11.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK393,galaxies; active_galactic_nuclei,09 05 49.4,60 31 35.36,29-30.11.1973,20m,20m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
VI-5,MRK137,galaxies; active_galactic_nuclei,10 09 06.02,65 31 11.93,29-30.11.1973,15m,15m,,,,,AZT-8,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,
