Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
205-2599,IC5076,20 54 18,47 12 27,13-14.08.1964,30m,,,,,,отколота
205-2599-st,IC5076,20 54 18,47 12 27,13-14.08.1964,30m,,,,,,отколота
205-2599-cal,Calibrovka,,,13-14.08.1964,30m,,,,,,
205-2598,IC5076,20 54 18,47 12 27,13-14.08.1964,40m,,,,,,
205-2598-st,IC5076,20 54 18,47 12 27,13-14.08.1964,40m,,,,,,отколота
205-2598-cal,Calibrovka,,,13-14.08.1964,40m,,,,,,
205-2592,IC5076,20 54 18,47 12 27,12-13.08.1964,40m,,,,,,
205-2592-st,IC5076,20 54 18,47 12 27,12-13.08.1964,40m,,,,,,
205-2592-cal,Calibrovka,,,12-13.08.1964,40m,,,,,,
205-2591,IC4679,16 22 34,-23 20 01,12-13.08.1964,50m,,,,,,
205-2591-st,IC4679,16 22 34,-23 20 01,12-13.08.1964,50m,,,,,,
205-2591-cal-1,Calibrovka,,,12-13.08.1964,50m,,,,,,
205-2591-cal-2,Calibrovka,,,12-13.08.1964,50m,,,small,,,
205-2451,Pleiades,03 47 24,24 07 00,27-28.09.1963,1h20,,,,,,
205-2451-st,Pleiades,03 47 24,24 07 00,27-28.09.1963,1h20,,,,,,
205-2451-cal,Calibrovka,,,27-28.09.1963,1h20,,,small,,,
205-2559,rho-Oph,16 22 34,-23 20 01,06-07.08.1964,30m,,,,,,
205-2559-st,rho-Oph,16 22 34,-23 20 01,06-07.08.1964,30m,,,,,,
205-2559-cal-1,Calibrovka,,,06-07.08.1964,30m,,,,,,
205-2559-cal-2,Calibrovka,,,06-07.08.1964,30m,,,small,,,засветка 
205-2439-a-st,rho-Oph,16h22,-23.20,12-13.08.1963,40m,,,,,,
205-2454-cal,Calibrovka,,,19-20.10.1963,5m,,,,,,
205-2580,NGC6911,20 19 11,66 34 09,09-10.08.1964,30m,,,,,,
205-2580-st,NGC6911,20 19 11,66 34 09,09-10.08.1964,30m,,,,,,
205-2580-cal,Calibrovka,,,09-10.08.1964,30m,,,,,,
205-2575,NGC6911,20 19 11,66 34 09,07-08.08.1964,40m,,,,,,
205-2575-st,NGC6911,20 19 11,66 34 09,07-08.08.1964,40m,,,,,,
205-2575-cal,Calibrovka,,,07-08.08.1964,40m,,,,,,
205-2605,IC4679,16 22 34,-23 20 01,27-28.08.1964,40m,,,,,,
205-2605-st,IC4679,16 22 34,-23 20 01,27-28.08.1964,40m,,,,,,отколота
205-2605-cal-1,Calibrovka,,,27-28.08.1964,40m,,,,,,
205-2605-cal-2,Calibrovka,,,27-28.08.1964,40m,,,small,,,
205-2608,IC4679,16 22 34,-23 20 01,02-03.09.1964,40m,,,,,,
205-2608-st,IC4679,16 22 34,-23 20 01,02-03.09.1964,40m,,,,,,
205-2608-cal-1,Calibrovka,,,02-03.09.1964,40m,,,,,,
205-2608-cal-2,Calibrovka,,,02-03.09.1964,40m,,,small,,,
205-2509,NGC2068,05 44 12,00 03 42,18-19.01.1969,1h10,,,,,,polaris
205-2509-cal,Calibrovka,,,18-19.01.1969,1h10,,,,,,
205-2607,Ced201,22 12 16,70 00 24,30-31.08.1964,30m,,,,,,
205-2607-st,Ced201,22 12 16,70 00 24,30-31.08.1964,30m,,,,,,отколота
205-2607-cal,Calibrovka,,,30-31.08.1964,30m,,,,,,
205-2,NGC2362,07 16 36,-24 51 41,22-23.01.1963,1h30,,,,,,
205-2-st,NGC2362,07 16 36,-24 51 41,22-23.01.1963,1h30,,,,,,
205-2-cal-1,Calibrovka,,,22-23.01.1963,1h30,,,,,,
205-2-cal-2,Calibrovka,,,22-23.01.1963,1h30,,,small,,,
205-4,NGC2362,07 16 36,-24 51 41,24-25.01.1963,1h29m22s,,,,,,
205-4-st,NGC2362,07 16 36,-24 51 41,24-25.01.1963,1h29m22s,,,,,,
205-4-cal-1,Calibrovka,,,24-25.01.1963,1h29m22s,,,,,,
205-4-cal-2,Calibrovka,,,24-25.01.1963,1h29m22s,,,small,,,
205-2606,IC4679,16 22 34,-23 20 01,30-31.08.1964,30m,,,,,,
205-2606-st,IC4679,16 22 34,-23 20 01,30-31.08.1964,30m,,,,,,
205-2606-cal-1,Calibrovka,,,30-31.08.1964,30m,,,,,,
205-2606-cal-2,Calibrovka,,,30-31.08.1964,30m,,,,,,
205-2917,IC4679,16 22 34,-23 20 01,04-05.06.1965,20m,,,,,,
205-2917-st,IC4679,16 22 34,-23 20 01,04-05.06.1965,20m,,,,,,дырки как пончики
205-2917-cal-1,Calibrovka,,,04-05.06.1965,20m,,,,,,
205-2917-cal-2,Calibrovka,,,04-05.06.1965,20m,,,small,,,
205-2649,Pleiades,03 47 24,24 07 00,01-02.10.1964,1h,,,,,,
205-2649-st,Pleiades,03 47 24,24 07 00,01-02.10.1964,1h,,,,,,
205-2649-cal,Calibrovka,,,01-02.10.1964,1h,,,,,,
205-2661,Pleiades,03 47 24,24 07 00,04-05.10.1964,1h30,,,,,,
205-2661-st,Pleiades,03 47 24,24 07 00,04-05.10.1964,1h30,,,,,,
205-2661-cal-1,Calibrovka,,,04-05.10.1964,1h30,,,,,,
205-2661-cal-2,Calibrovka,,,04-05.10.1964,1h30,,,small,,,
205-2711,Pleiades,03 47 24,24 07 00,11-12.10.1964,50m,,,,,,
205-2711-st,Pleiades,03 47 24,24 07 00,11-12.10.1964,50m,,,,,,
205-2711-cal,Calibrovka,,,11-12.10.1964,50m,,,,,,
205-2729,Pleiades,03 47 24,24 07 00,05-06.11.1964,1h30,,,,,,
205-2729-st,Pleiades,03 47 24,24 07 00,05-06.11.1964,1h30,,,,,,
205-2729-cal,Calibrovka,,,05-06.11.1964,1h30,,,,,,
205-2697,Ced201,22 12 16,70 00 24,08-09.10.1964,45m,,,,,,
205-2697-st,Ced201,22 12 16,70 00 24,08-09.10.1964,45m,,,,,,
205-2697-cal,Calibrovka,,,08-09.10.1964,45m,,,,,,
205-2705-a,Ced201,22 12 16,70 00 24,09-10.10.1964,40m,,,,,,
205-2705-a-st,Ced201,22 12 16,70 00 24,09-10.10.1964,40m,,,,,,
205-2705-a-cal-1,Calibrovka,,,09-10.10.1964,40m,,,,,,
205-2705-a-cal-2,Calibrovka,,,09-10.10.1964,40m,,,small,,,
205-2731,Pleiades,03 47 24,24 07 00,13-14.11.1964,30m,,,,,,
205-2731-st,Pleiades,03 47 24,24 07 00,13-14.11.1964,30m,,,,,,
205-2731-cal-1,Calibrovka,,,13-14.11.1964,30m,,,,,,
205-2731-cal-2,Calibrovka,,,13-14.11.1964,30m,,,small,,,
205-2730,Pleiades,03 47 24,24 07 00,13-14.11.1964,50m,,,,,,
205-2730-st,Pleiades,03 47 24,24 07 00,13-14.11.1964,50m,,,,,,
205-2730-cal,Calibrovka,,,13-14.11.1964,50m,,,,,,
205-2733,Pleiades,03 47 24,24 07 00,28-29.11.1964,20m,,,,,,
205-2733-st,Pleiades,03 47 24,24 07 00,28-29.11.1964,20m,,,,,,
205-2733-cal,Calibrovka,,,28-29.11.1964,20m,,,,,,
205-2769,Pleiades,03 47 24,24 07 00,28-29.12.1964,30m,,,,,,
205-2769-st,Pleiades,03 47 24,24 07 00,28-29.12.1964,30m,,,,,,
205-2769-cal-1,Calibrovka,,,28-29.12.1964,30m,,,,,,
205-2769-cal-2,Calibrovka,,,28-29.12.1964,30m,,,,,,
205-2898,Pleiades,03 47 24,24 07 00,04-05.03.1965,1h30,,,,,,
205-2898-st,Pleiades,03 47 24,24 07 00,04-05.03.1965,1h30,,,,,,
205-2898-cal-1,Calibrovka,,,04-05.03.1965,1h30,,,,,,
205-2898-cal-2,Calibrovka,,,04-05.03.1965,1h30,,,small,,,
205-2846,Pleiades,03 47 24,24 07 00,30-31.01.1965,1h30,,,,,,
205-2846-st,Pleiades,03 47 24,24 07 00,30-31.01.1965,1h30,,,,,,
205-2846-cal-1,Calibrovka,,,30-31.01.1965,1h30,,,,,,
205-2846-cal-2,Calibrovka, ,,30-31.01.1965,1h30,,,,,,
205-2862,Pleiades,03 47 24,24 07 00,04-05.02.1965,1h40,,,,,,
205-2862-st,Pleiades,03 47 24,24 07 00,04-05.02.1965,1h40,,,,,,
205-2892,Pleiades,03 47 24,24 07 00,28.02-01.03.1965,1h20,,,,,,
205-2892-st,Pleiades,03 47 24,24 07 00,28.02-01.03.1965,1h20,,,,,,
205-2892-cal-1,Calibrovka,,,28.02-01.03.1965,1h20,,,,,,
205-2892-cal-2,Calibrovka,,,28.02-01.03.1965,1h20,,,small,,,
205-2897-a,Pleiades,03 47 24,24 07 00,,,,,,,,"данных в журнале нет, не скнаировала"
205-2897-a-st,Pleiades,03 47 24,24 07 00,,,,,,,,"данных в журнале нет, не скнаировала"
205-2897-a-cal-1,Calibrovka,,,,,,,,,,"данных в журнале нет, не скнаировала"
205-2897-a-cal-2,Calibrovka,,,,,,,,,,"данных в журнале нет, не скнаировала"
205-2918,IC4679,16 22 34,-23 20 01,05-06.06.1965,40m,,,,,,
205-2918-st,IC4679,16 22 34,-23 20 01,05-06.06.1965,40m,,,,,,
205-2918-cal,Calibrovka,,,05-06.06.1965,40m,,,,,,
205-2924,rho-Oph,16 22 34,-23 20 01,27-28.07.1965,40m,,,,,,
205-2924-st,rho-Oph,16 22 34,-23 20 01,27-28.07.1965,40m,,,,,,
205-2924-cal-1,Calibrovka,,,27-28.07.1965,40m,,,,,,
205-2924-cal-2,Calibrovka,,,27-28.07.1965,40m,,,small,,,
205-2929,rho-Oph,16 22 34,-23 20 01,30-31.08.1965,15m,,,,,,
205-2929-st,rho-Oph,16 22 34,-23 20 01,30-31.08.1965,15m,,,,,,
205-2929-cal-1,Calibrovka,,,30-31.08.1965,15m,,,,,,
205-2929-cal-2,Calibrovka,,,30-31.08.1965,15m,,,,,,
205-2955,Pleiades,03 47 24,24 07 00,03-04.10.1965,1h30,,,,,,
205-2955-st,Pleiades,03 47 24,24 07 00,03-04.10.1965,1h30,,,,,,
205-2955-cal-1,Calibrovka,,,03-04.10.1965,1h30,,,,,,
205-2955-cal-2,Calibrovka,,,03-04.10.1965,1h30,,,small,,,
205-2956,Pleiades,03 47 24,24 07 00,06-07.10.1965,30m,,,,,,
205-2956-st,Pleiades,03 47 24,24 07 00,06-07.10.1965,30m,,,,,,
205-2956-cal,Calibrovka,,,06-07.10.1965,30m,,,,,,
205-2957,Pleiades,03 47 24,24 07 00,06-07.10.1965,35m,,,,,,
205-2957-st,Pleiades,03 47 24,24 07 00,06-07.10.1965,35m,,,,,,
205-2957-cal-1,Calibrovka,,,06-07.10.1965,35m,,,,,,
205-2957-cal-2,Calibrovka,,,06-07.10.1965,35m,,,small,,,
205-3006,Pleiades,03 47 24,24 07 00,26-27.11.1965,2h39,,,,,,
205-3006-st,Pleiades,03 47 24,24 07 00,26-27.11.1965,2h39,,,,,,
205-3006-cal,Calibrovka,,,26-27.11.1965,2h39,,,,,,
205-3000,Pleiades,03 47 24,24 07 00,22-23.11.1965,2h55,,,,,,
205-3000-st,Pleiades,03 47 24,24 07 00,22-23.11.1965,2h55,,,,,,
205-3000-cal,Calibrovka,,,22-23.11.1965,2h55,,,,,,
205-3008,Pleiades,03 47 24,24 07 00,29-30.11.1965,4h00,,,,,,
205-3008-st,Pleiades,03 47 24,24 07 00,29-30.11.1965,4h00,,,,,,
205-3008-cal,Calibrovka,,,29-30.11.1965,4h00,,,,,,
205-2836,Pleiades,03 47 24,24 07 00,06-07.01.1965,30m,,,,,,
205-2836-st,Pleiades,03 47 24,24 07 00,06-07.01.1965,30m,,,,,,
205-2836-cal-1,Calibrovka,,,06-07.01.1965,30m,,,,,,
205-2836-cal-2,Calibrovka,,,06-07.01.1965,30m,,,small,,,
205-3039,Pleiades,03 47 24,24 07 00,13-14.01.1966,40m,,,,,,пленка
205-3039-st,Pleiades,03 47 24,24 07 00,13-14.01.1966,40m,,,,,,пленка
205-3039-cal,Calibrovka,,,13-14.01.1966,40m,,,,,,пленка
205-3040,Pleiades,03 47 24,24 07 00,13-14.01.1966,40m,,,,,,пленка
205-3040-st,Pleiades,03 47 24,24 07 00,13-14.01.1966,40m,,,,,,пленка
205-3040-cal,Calibrovka,,,13-14.01.1966,40m,,,,,,пленка
205-2967-st,Pleiades,03 47 24,24 07 00,01-02.11.1967,25m,3h20,3h45,,,,
205-2967-cal,Calibrovka,,,01-02.11.1967,25m,,,,,,
205-2736-st,Pleiades,03 47 24,24 07 00,02-03.12.1964,2h20,1h51,4h11,,,,
205-2736-cal,Calibrovka,,,02-03.12.1964,2h20,,,,,,
205-2736,Pleiades,03 47 24,24 07 00,02-03.12.1964,2h20,,,,,,
205-3007,Pleiades,03 47 24,24 07 00,28-29.11.1965,2h00,,,,,,
205-3007-st,Pleiades,03 47 24,24 07 00,28-29.11.1965,2h00,,,,,,
205-3007-cal,Calibrovka,,,28-29.11.1965,2h00,,,,,,
205-3010,Pleiades,03 47 24,24 07 00,15-16.12.1965,1h12,,,,,,
205-3010-st,Pleiades,03 47 24,24 07 00,15-16.12.1965,1h12,,,,,,
205-3010-cal,Calibrovka,,,15-16.12.1965,1h12,,,,,,
205-3011,Pleiades,03 47 24,24 07 00,16-17.12.1965,50m,,,,,,
205-3011-st,Pleiades,03 47 24,24 07 00,16-17.12.1965,50m,,,,,,
205-3011-cal,Calibrovka,,,16-17.12.1965,50m,,,,,,
26-30,M31,00 40 00,40 59 41,07-08.10.1950,30m,,,,,,
26-36,M31,00 40 00,40 59 41,08-09.10.1950,2.5m,,,,,,
26-109,SA49,05 29 48,29 45 55,07-08.02.1951,1h,6h03,7h03,,,,
26-99,M31,00 40 00,40 59 41,01-02.02.1951,1h07,4h08,5h15,,,,
26-108,M31,0h40,40.38,07-08.02.1951,1h,4h37,5h37,,,,
26-46,M33,01 31 01,30 24 14,14-15.10.1950,1h30,2h21,3h51,,,,
26-128,Pleiades,03 47 24,24 07 00,26-27.02.1951,1h50,,,,,,
26-130,M33,01 31 01,30 24 14,28-29.02.1951,45m,,,,,,
26-132,SA49,05 29 48,29 45 55,28.02-01.03.1951,30m,,,,,,царапина на эмульсии 
26-531,SA63,,,29-30.05.1952,40m,17h50,18h30,,,,
26-148,SA75,,,11-12.03.1951,30m,,,,,,
26-139,SA49,05 29 48,29 45 55,04-05.03.1951,16m,,,,,,
26-158,Pol,,,26-27.03.1951,10m,,,,,,
26-170,SA75,,,29-30.03.1951,35m,,,,,,
26-296,Object-X,,,01-02.09.1951,30m,,,,,,
26-303,Object-X,,,03-04.09.1951,40m,,,,,,
26-306,VIII-Jupiter,,,05-06.09.1951,15m,23h34,23h49,,,,
26-322,VIII-Jupiter,,,05-06.10.1951,20m;10m,23h55;0h29,0h05;0h39,,,,
26-329,VIII-Jupiter,,,25-26.10.1951,20m,,,,,,
26-324,VIII-Jupiter,,,23-24.10.1951,1h23,23h23,0h46,,,,
26-328,VIII-Jupiter,,,24-25.10.1951,1h08,1h23.5,2h31.5,,,,
26-373,Orion,5h38,-5.21,30.11-01.12.1951,8m,3h37,3h45,,,,
26-337,VIII-Jupiter,,,04-05.11.1951,10m;10m,2h23;3h38,2h33;3h48,,,,
26-576,SA63,,,17-18.07.1952,40m,20h14,20h54,,,,
26-587,SA63,,,01-02.08.1952,40m,,,,,,
26-607,NPS,,,29-30.08.1952,40m,1h00,1h40,,,,
26-596,NPS,,,19-20.08.1952,1h20,20h52,22h12,,,,
26-594,NPS,,,18-19.08.1952,1h20,21h09,22h29,,,,
26-598,NPS,,,21-22.08.1952,20.5m,21h00,21h20.5,,,,
26-613,NPS,,,10-11.10.1952,1h00,20h48,21h48,,,,
26-611,NPS,,,08-09.09.1952,1h00,21h24,22h24,,,,
26-619,NPS,,,11-12.09.1952,1h00,21h02,22h02,,,,
26-625,NPS,,,16-17.09.1952,1h00,,,,,,
26-627,NPS,,,17-18.09.1952,1h30,,,,,,
26-789-a,NGC6960,20h50,31.00,21-22.06.1953,35m,18h17,18h52,,,,
26-789-b,NGC6960,20h50,31.00,21-22.06.1953,35m,18h57,19h32,,,,
26-789-c,NGC6960,20h50,31.00,21-22.06.1953,35m,19h37,20h12,,,,
26-630,NPS,,,22-23.09.1952,40m,23h01,23h41,,,,
26-635,NPS,,,23-24.09.1952,1h00,22h47,23h47,,,,
26-652-4,NGC6920,20h54,31.31,19-20.10.1952,20m,,,,,,
26-629,Andromeda,,,22-23.09.1952,1h51,20h35,22h26,,,,сломана(тройное стекло)
26-793,NPS,,,02-03.07.1953,20m,,,,,,
26-795,NPS,,,02-03.07.1953,20m,,,,,,
26-794,NPS,,,02-03.07.1953,20m,,,,,,
26-777-a-b-c-cal,Calibrovka,,,15-16.05.1953,,,,,,,
26-628,M31,,,21-22.09.1952,2h,1h35,3h35,,,,
26-629,M31,,,22-23.09.1952,1h49,20h35,22h36,,,,
26-1177,rho-Cyg,20h16,37.52,29-30.11.1954,20m,3h10,3h30,,,,
26-1189,Orion,,,17-18.10.1954,30m,4h31,4h51,,,,
26-1192,MP280,4h34,33.00,18-19.12.1954,15m;15m,2h04;2h20,2h19;2h35,,,,
26-1205,rho-Cyg,,,25-26.12.1954,30m,,,,,,
26-1206,Orion,,,25-26.12.1954,30m,,,,,,
26-1092,NGC6888,20h10,38.20,22-23.08.1954,40m,,,,,,
26-1232,NGC2421,7h34,-21.00,25-26.01.1955,15m,7h41,7h56,,,,
26-1233,NGC2455,7h48,-21.40,25-26.01.1955,15m,8h07,8h22,,,,
26-1229,NGC2395,7h24,14.00,21-22.01.1955,20m,9h38,9h58,,,,
26-1225,SA123,,,19-20.01.1955,20m,8h37,8h57,,,,
26-1224-cal,Calibrovka,,,16-17.01.1955,20m,,,,,,
26-1224-cal-1,Calibrovka,,,16-17.01.1955,20m,,,,,,
26-1224-cal-2,Calibrovka,,,16-17.01.1955,20m,,,,,,
26-1251,NGC2479,7h53,-17.30,16-17.02.1955,20m,9h50,10h10,,,,
26-1252,NGC2324,7h02,1.40,16-17.02.1955,20m,10h30,10h50,,,,
26-1247,NGC2232,6h26,-5.00,16-17.02.1955,20m,6h12,6h32,,,,
26-1250,NGC2236,6h32,8.30,16-17.02.1955,20m,8h05,8h25,,,,
26-1236,NGC2396,7h27,-11.20,25-26.01.1955,15m,10h20,10h35,,,,
26-1235,NGC2406,7h58,-10.30,25-26.01.1955,15m,9h45,10h00,,,,
26-1261,NGC2360,,,19-20.02.1955,20m,6h11,6h31,,,,
26-1262,NGC2447,7h42,-23.30,19-20.02.1955,20m,7h23,7h43,,,,
26-1266,NPS,7h23,-21.40,20-21.02.1955,5m,8h30,8h35,,,,
26-1267,NPS,7h34,-21.00,20-21.02.1955,5m,8h45,8h50,,,,
26-1268,NPS,7h42,-23.30,20-21.02.1955,5m,9h00,9h05,,,,
26-1269,NPS,7h34,-14.00,20-21.02.1955,5m,9h28,9h33,,,,
26-1270,NPS,7h27,-11.20,20-21.02.1955,5m,9h49,9h54,,,,
26-1271,NPS,,,20-21.02.1955,5m,10h08,10h13,,,,
26-1273,NPS,6h07,24.30,20-21.02.1955,3m,10h44,10h47,,,,
26-1272,NPS,6h06,20.30,20-21.02.1955,3m,10h30,10h33,,,,
26-1281,NPS,,,23-24.02.1955,3m,21h20,21h23,,,,пятна от чернил
26-1282,NPS,7h01,-8.00,23-24.02.1955,3m,21h31,21h34,,,,
26-1283,NPS,7h10,-10.00,23-24.02.1955,3m,21h43,21h46,,,,
26-1274,NPS,,,20-21.02.1955,3m,10h57,11h00,,,,
26-1277,NPS,6h44,-20.30,23-24.02.1955,3m,20h22,20h25,,,,
26-1278,SA98,,,23-24.02.1955,3m,20h38,20h41,,,,
26-1279,NPS,6h30,5.00,23-24.02.1955,3m,20h48,20h51,,,,
26-1280,NPS,6h38,10.00,23-24.02.1955,3m,21h07,21h10,,,,
26-1275-1276-cal,Calibrovka,,,21-22.02.1955,,,,,,,
26-1284,NPS,,,23-24.02.1955,3m,22h07,22h10,,,,
26-1285,NPS,6h37,9.40,23-24.02.1955,3m,22h20,22h23,,,,
26-1286,NPS,6h06,14.00,23-24.02.1955,3m,22h34,22h37,,,,
26-1290,NPS,,,23-24.02.1955,3m,,,,,,
26-1408,NGC7023,,,14-15.09.1955,1h,,,,,,
26-1548,Pleiades,,,05-06.01.1956,10m,,,,,,
26-1592,VIII-Jupiter,,,10-11.02.1956,,,,,,,
26-1593,VIII-Jupiter,,,10-11.02.1956,,,,,,,
26-1655-st,CY-Aqr,22 35 14,01 16 30,27-28.09.1956,25m,,,,,,
26-1668-st,CY-Aqr,22 35 14,01 16 30,08-09.10.1956,26m,,,,,,
26-1669-st,CY-Aqr,22 35 14,01 16 30,08-09.10.1956,,,,,,,
26-1968-b,NGC2264,,,11-12.02.1958,,,,,,,ПОЛЯРИЗАЦИЯ
26-1968-c,NGC2264,,,11-12.02.1958,,,,,,,ПОЛЯРИЗАЦИЯ
26-1795-cal,Calibrovka,,,                       ,,,,,,,
26-1718,Arend-Roland,1h06,21.30,01-02.12.1956,10m,4h57,5h07,,,,
26-1739,Arend-Roland,0h17,2.55,19-20.01.1957,8m;8m,2h25;2h34,2h33;2h42,,,,
26-1740,Arend-Roland,0h17,2.55,Ко,6m,2h46,2h52,,,,
26-1925,zet-Ori,05 38 14,-01 58 02,28.09.1957,1h,2h39,3h39,,,,
26-1926,gam-Ori,05 22 26,06 18 21,28.09.1957,1h,3h55,4h55,,,,
26-1925-1926-cal-1,Calibrovka,,,28.09.1957,1h,,,,,,
26-1925-1926-cal-2,Calibrovka,,,28.09.1957,1h,,,,,,
26-1804-st,Star,,,09-10.05.1957,10m,14h36,14h46,,,,
26-1865,nu-Cas,00 45 59,50 41 45,15-16.09.1957,4h,19h18,23h18,,,,
26-1862,nu-Cas,00 45 59,50 41 45,13-14.09.1957,2h,20h23,22h23,,,,
26-1929,zet-Ori,05 38 14,-01 58 02,28-29.09.1957,1h30,3h29,4h59,,,,
26-1928-st,zet-Ori,05 38 14,-01 58 02,28-29.09.1957,1h30,1h41,3h11,,,,
26-1928-1929-cal-1,Calibrovka,,,28-29.09.1957,1h30,,,,,,
26-1928-1929-cal-2,Calibrovka,,,28-29.09.1957,1h30,,,,,,
26-1934,zet-Ori,05 38 14,-01 58 02,30.09-01.10.1957,1h45,3h25,5h10,,,,
26-1933-st,zet-Ori,05 38 14,-01 58 02,30.09-01.10.1957,1h45,1h30,3h15,,,,пересканировать
26-1933-1934-cal,Calibrovka,,,30.09-01.10.1957,1h45,,,,,,
26-1905,Pleiades,,,23-24.09.1957,15m,0h18,0h33,,,,
26-1904,NGC6960,,,23-24.09.1957,15m,23h58,0h13,,,,
26-1906,NGC6960,,,23-24.09.1957,15m,0h39,0h54,,,,
26-1972-a,NGC2264,,,15-16.02.1958,30m,5h48,6h18,,,,ПОЛЯРИЗАЦИЯ
26-1972-b,NGC2264,,,15-16.02.1958,30m,6h23,6h53,,,,ПОЛЯРИЗАЦИЯ
26-1972-c,NGC2264,,,15-16.02.1958,30m,6h58,7h28,,,,ПОЛЯРИЗАЦИЯ
26-1972-d,NGC2264,,,15-16.02.1958,30m,7h33,8h03,,,,ПОЛЯРИЗАЦИЯ
26-1957,SI1950,5h17.7,14.53,16-17.12.1957,15m;15m;15m,4h29;4h45;5h02,4h44;5h00;5h17,,,,
26-1958,RA1952,6h02,33.46,16-17.12.1957,15m;15m;15m,5h32;5h48;6h04,5h47;6h03;6h20,,,,
26-1974-a,NGC2264,,,17-18.10.1958,30m,6h12,6h42,,,,ПОЛЯРИЗАЦИЯ
26-1974-b,NGC2264,,,17-18.10.1958,30m,6h47,7h17,,,,ПОЛЯРИЗАЦИЯ
26-1974-c,NGC2264,,,17-18.10.1958,30m,7h22,7h51,,,,ПОЛЯРИЗАЦИЯ
26-1974-d,NGC2264,,,17-18.10.1958,30m,7h57,8h27,,,,ПОЛЯРИЗАЦИЯ
26-1977-a,,,,,,,,,,,ПОЛЯРИЗАЦИЯ
26-1977-b,,,,,,,,,,,ПОЛЯРИЗАЦИЯ
26-1977-c,,,,,,,,,,,ПОЛЯРИЗАЦИЯ
26-1977-d, ,,,,,,,,,,ПОЛЯРИЗАЦИЯ
26-2066-a,21P/Giacobini-Zinner Комета Джакобинни-Циннера,17h16m,12.40,02-03.10.1959,5m,20h08m,20h13m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 18C,  пластинки Kodak 103 OaO."
26-2066-b,Pleiades,,,02-03.10.1959,6m,23h45,23h51,,,,
26-2197-2198-cal,Calibrovka,,,11-12.08.1961,1h07,,,,,,
26-2004-a-b-c-cal,Calibrovka,,,05-06.11.1958,30m,,,,,,
26-2201-cal,Calibrovka,,,15-16.08.1961,1h36,,,,,,
26-2203-cal,Calibrovka,,,17-18.08.1961,1h30,,,,,,
26-2200-cal,Calibrovka,,,13-14.08.1961,1h30,,,,,,
26-2202-cal,Calibrovka,,,,,,,,,,
26-2079,29P/Schwassmann-Wachmann,,,02.12.1959,,,,,,,
26-2133,NGC2068,,,11-12.01.1961,,,,,,,
26-2132,NGC2068,,,11-12.01.1961,,,,,,,склеины
26-2135,NGC2068,,,11-12.01.1961,,,,,,,
26-2320,Star,7h22,45.44,07-08.11.1962,35m,6h06,,,,,
26-2321,Star,7h22,45.44,07-08.11.1962,40m,6h55,,,,,
26-2322,Star,7h22,45.44,07-08.11.1962,40m,7h39,,,,,
26-2217-cal,Calibrovka,,,,,,,,,,
26-2212-cal,Calibrovka,,,09-10.09.1961,1h30,,,,,,
26-2221-2222-cal,Calibrovka,,,01-02.10.1961,1h11,,,,,,
26-2215-cal,Calibrovka,,,,,,,,,,
26-2467,obl-9P/Tempel,7h26,17.37,22-23.11.1963,35m,6h12,6h47,,,,комета не найдена
26-2466,obl-9P/Tempel,7h26,17.37,22-23.11.1963,35m,5h30,6h05,,,,комета не найдена
26-2429,rho-Orh,,,23-24.06.1963,50m,4h20,5h10,,,,
26-2429-st,rho-Orh,,,23-24.06.1963,50m,5h17,6h07,,,,
26-2429-cal-1,Calibrovka,,,23-24.06.1963,50m,,,,,,
26-2429-cal-2,Calibrovka,,,23-24.06.1963,50m,,,,,,
26-2516,M42,,,11-12.02.1964,10m,5h08,5h18,,,,
26-2516-st,Star,4h49,30.00,11-12.02.1964,10m,5h23,5h33,,,,
26-2527,rho-Orh,,,16-17.05.1964,1h,16h01,17h01,,,,
26-2527-st,rho-Orh,,,16-17.05.1964,1h,,,,,,
26-2527-cal-1,Calibrovka,,,16-17.05.1964,1h,,,,,,
26-2527-cal-2,Calibrovka,,,16-17.05.1964,1h,,,,,,
26-2497,C/1961 R1,12h40,-19.00,20-21.12.1963,35m,,,,,,
26-2537,rho-Orh,16h22,-23.20,31.05-01.06.1964,40m,15h40,16h20,,,,
26-2537-st,rho-Orh,,,31.05-01.06.1964,40m,16h25,17h05,,,,
26-2537-cal-1,Calibrovka,,,31.05-01.06.1964,40m,,,,,,
26-2537-cal-2,Calibrovka,,,31.05-01.06.1964,40m,,,,,,
26-2453-cal,Calibrovka,,,19-20.10.1963,1h02,,,,,,
26-2455-cal,Calibrovka,,,20-21.10.1963,20m,,,,,,
26-2544,rho-Orh,,,11-12.06.1964,40m,16h44,17h24,,,,
26-2544-st,rho-Orh,,,11-12.06.1964,40m,17h28,18h08,,,,
26-2544-cal,Calibrovka,,,11-12.06.1964,40m,,,,,,
26-2545,rho-Orh,,,11-12.06.1964,50m,16h54,17h44,,,,
26-2545-st,rho-Orh,,,11-12.06.1964,50m,17h48,18h38,,,,
26-2545-cal-1,Calibrovka,,,11-12.06.1964,50m,,,,,,
26-2545-cal-2,Calibrovka,,,11-12.06.1964,50m,,,,,,
