Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
6-5095,"M8, NGC 6523 (Лагуна); M20, NGC 6514  (Trifid Nebula), Тройная тум.",18h03m,-24.23,15-16.08.1974,1h40m,19h24m,21h04m,19h24m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 13.5C,  пластинки ZP-1+ к.с.10.",
6-3153,обл. (Sky),19h30m,20.40,08-09.08.1967,15m,18h30m,18h45m,18h30m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns, имеет cтандарт 24-3153 st.  и калибровку 6-3153 Cal.",
6-3154,обл. (Sky),19h30m,20.40,08-09.08.1967,15m,18h49m,19h04m,18h49m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns, имеет cтандарт 24-3154 st.  и калибровку 6-3153 Cal.",
6-3155,обл. (Sky),19h30m,20.40,08-09.08.1967,15m,19h09m,19h24m,19h09m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns, имеет cтандарт 6-3155 st.  и калибровку 6-3155 Cal.",
6-3539-a,МП ИКАР (MP-Icarus),14h00m,63.00,14-15.06.1968,10m,16h37m,16h47m,16h37m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 13C,  пластинки ZU-2, пластинка треснула.",
6-3546,МП ИКАР(MP-Icarus),14h36m,40.48,15-16.06.1968,2m,15h33m,15h35m,15h33m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,,
6-3547,МП ИКАР(MP-Icarus),11h27m,86.00,15-16.06.1968,2m,15h42m,15h44m,15h42m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,,
6-3543,МП ИКАР(MP-Icarus),,,14-15.06.1968,3m,17h41m,17h44m,17h41m,"9,4*9,7cm",50cm менисковый телескоп Максутова,,"t= + 13C,  пластинки ZU-2.",
6-3544,МП ИКАР(MP-Icarus),14h10m,61.00,14-15.06.1968,2m,17h48m,17h50m,17h48m,"9,4*9,7cm",50cm менисковый телескоп Максутова,,"t= + 13C,  пластинки ZU-2.",
6-3552,МП ИКАР(MP-Icarus),,,18-19.06.1968,10m,17h25m,17h35m,17h25m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= + 19C,  метод Меткофа-Блажко.",
6-360,IC4996,20h15m,37.29,24-25.11.1951,15m,00h17m,00h32m,00h17m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1.5C,  пластинки Panchrom 1332 + ж.ф.III, имеет стандарт 25-361",
6-352,IC4996,20h15m,37.29,22-23.11.1951,10m,00h21m,00h31m,00h21m,"9,4*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6C,  пластинки Panchrom 1326, имеет стандарт 22-354",
6-342,IC4996,20h15m,37.29,05-06.11.1951,10m,00h26m,00h36m,00h26m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 14C,  пластинки Astro uns 1335, имеет стандарт 25-340",
6-346,IC4996,20h15m,37.29,21-22.11.1951,10m,00h27m,00h37m,00h27m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 9C,  пластинки Panchrom 1332 + ж.ф.III, имеет стандарт 25-345",
6-342-a,IC4996,20h15m,37.29,20-21.11.1951,15m,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"пластинки Panchrom 1332 + ж.ф.III, фокусировочный снимок",
6-315,VIII спутник Юпитера(VIIISJupiter),00h46m,03.30,23-24.09.1951,15m,22h55m,23h10m,22h55m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,,
6-319,VIII спутник Юпитера(VIIISJupiter),,,27-28.09.1951,42m,22h15m,22h57m,22h15m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,метод Меткофа-Блажко.,
6-2318-st,β Тau (beta-Tau),05h26m,28.36,03-04.11.1962,40m,03h11m,03h51m,03h11m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Kodak 103OaE + к.с.III,   стандарт  к снимку 6-2318.",
6-2098-st,M45  Плеяды,03h46m,24.07,31.03-01.04.1960,6m,09h02m,09h08m,09h02m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= +22.5C,  пластинки Kodak 103OaO + ж.ф.12, имеет стандарт 6-2098 st. и калибровку 6-2098 Cal.",
6-2098-Cal,Calibrovka,,,31.03-01.04.1960,10m;12m;14m; 16m;18m;20m; 22m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= +22.5C,  пластинки Kodak 103OaO + ж.ф.12, калибровка к снимкам 6-2098 st. и 6-2098.",
6-2096-st,NGC2068,05h46m,00.01,29-30.03.1960,40m,09h43m,10h23m,09h43m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= - 4C,  пластинки Kodak 103OaE + H α, имеет стандарт  к снимку 6-2096 .",
6-2096-Cal,Calibrovka,,,29-30.03.1960,10m;10m;10m; 10m;10m;10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= - 4C,  пластинки Kodak 103OaE + к.с.14, калибровка  к снимку 6-2096 и 6-2096 st.",
6-2094-st,NGC2068,05h46m,00.01,27-28.02.1960,40m,08h23m,09h03m,08h23m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2C,  пластинки Astro panchromatics + о.с.14, стандарт к снимку 6-2094.",
6-2094-Cal,Calibrovka,,,27-28.02.1960,10m;10m;10m; 10m;10m;10m; 10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2C,  пластинки Astro panchromatics + о.с.14, калибровка к снимку 6-2094 и 6-2094 st.",
6-3147-st,обл.  (Sky),19h30m,20.40,07-08.08.1967,15m,19h35m,19h50m,19h35m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= +14C,  пластинки Astro spec uns,  cтандарт к снимку 6-3147, 6-31448, 6-3149. Внефокальный.",
6-3147-Cal,Calibrovka,,,07-08.08.1967,10m;1m;2m; 4m;6m;8m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= +14C,  пластинки Astro spec uns,  калибровка к снимку 6-3147, 6-3148, 6-3149 и 6-3147 st.",
6-3155-st,обл. α Cyg ( Денеб) (Sky-alfaCyg),20h40m,45.11,08-09.08.1967,15m,19h29m,19h44m,19h29m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns, cтандарт 6-3155. ",
6-3155-Cal,Calibrovka,,,08-09.08.1967,1m;10m;8m; 6m;8m;5m; 2m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns,  калибровка к снимку 6-3155 и 6-3155 st.",
6-3153-Cal,Calibrovka,,,08-09.08.1967,1m;10m;8m; 6m;8m;5m; 2m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= +21C,  пластинки Astro spec uns,  калибровка к снимкам 6-3153, 6-3154, 6-3155.",
7-379,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,01-02.12.1951,5m,03h29m,03h34m,03h29m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки East 103+ к.с.III.",
7-401,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,13-14.02.1952,40m,05h36m,06h17m,05h36m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 9C,  пластинки Agfa Spec rot rapid + к.ф. III, подсвечивает Луна.",
7-926,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,09-10.11.1953,20m,04h14m,04h34m,04h14m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 11C,  пластинки Jsop JSS + к.ф. III, имеет калибровку 7-926 Cal.",
7-926-Cal,Calibrovka,,,09-10.11.1953,8m; 8m;10m;10m; 10m,03h42m;03h52m;04h02m; 04h15m; 04h29m,03h50m;04h00m;04h12m; 04h25m;04h39m,03h42m,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= - 11C,  пластинки Jsop JSS + к.ф. III, калибровка к снимку 7-926. 1-?;  2-?; 8m; 8m;10m;10m; 10m- экспозиция без изменений ",
7-1152,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,07-08.10.1954,20m,05h06m,05h26m,05h06m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11C,  пластинки Jsop JSS + к.ф. III. Имеет стандарты 7-1150, 7-1151 и калибровку 7-1152 Cal.",
7-1156,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,29-30.10.1954,40m,04h20m,05h00m,04h20m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Jsop JSS + к.ф. III, имеет стандарт 7-1156st. и калибровку 7-1156 Cal.",
7-1181,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,05-06.12.1954,193*         15m                                     133*         15m                               73*           15m     133*         15m    ,04h59m                                 05h20m                                 05h40m                            06h01m,05h14m                                05h35m                       05h55m                           06h16m,04h59m                                 05h20m                                 05h40m                            06h01m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Jsop JSS (очувствленные после зкспозиции)+ к.ф. III + поляроид, имеет стандарт 7-1181st. и калибровку 7-1181Cal.",
7-1181-Cal,Calibrovka,,,05-06.12.1954,5m;5m;5m;5m; 5m;5m;5m;5m,03h01m;03h07m;03h22m; 03h29m;03h43m;03h49m; 04h03m;04h12m,03h06m;03h12m;03h27m; 03h34m;03h48m;03h51m; 04h08m;04h15m,03h01m,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Jsop JSS (очувствленные после зкспозиции)+ к.ф. III, калибровка к снимку 7-1181st. и 7-1181. 1d-1.0; 2d-1.2; 3d-0.8; 4d-1.0; 5d-1.3; 6d-1.5; 7d-1.7; 8d-1.1",
7-1217,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,11-12.01.1955,20m,03h24m,03h44m,03h24m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6.5C,  пластинки Jsop F 17/10 Din + к.c. 10, имеет стандарт 7-1217st. и калибровку 25-1217 Cal.",
7-1218,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,11-12.01.1955,7m,04h00m,04h07m,04h00m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6.5C,  пластинки Jsop JSS + к.c. III, имеет стандарт 7-1218st. и калибровку.",
7-1239,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,30-31.01.1955,35m,04h20m,04h55m,04h20m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0 C,  пластинки Jsop F 17/10 Din + к.c. 13, имеет стандарт 7-1239st. и калибровку 25-1239 Cal.",
7-1243,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,12-13.02.1955,40m,06h45m,07h25m,06h45m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3.5C,  пластинки Infra rot 700 (очувствленные после зкспозиции) + к.ф. 19, имеет стандарт 7-1243-st  и калибровку.",
7-1259,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,18-19.02.1955,40m,07h37m,08h17m,07h37m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7C,  пластинки Infra rot 700 (очувствленные после зкспозиции) + к.ф. 19, имеет калибровку 25-1259 Cal.  и стандарт  7-1259 st.",
7-1178,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,29-30.11.1954,20m,04h31m,04h51m,04h31m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 15C,  пластинки Jsop JSS + к.ф. III.",
7-1560,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,07-08.01.1956,10m,04h44m,04h54m,04h44m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 12C,  пластинки Panchrom + к.ф. III.",
7-1561,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,07-08.01.1956,10m,04h58m,05h08m,04h58m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 12C,  пластинки Jsop JSS + к.ф. III.",
7-2015-c,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,26-27.02.1959,16m,08h14m,08h30m,08h14m,"8,7*9,9cm",50cm менисковый телескоп Максутова,,"t= + 1C,  пластинки Kodak 103 OaE+ к.ф. II.",
7-5074,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,25-26.12.1973,5m,20h42m,20h47m,20h42m,"8,7*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 5C,  пластинки Kodak 103 OaF+ к.c. 17.",
7-5075,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,25-26.12.1973,20m,21h53m,22h13m,21h53m,"8,7*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 5C,  пластинки Kodak 103 OaF+ к.c. 17.",
7-5230-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,03-04.10.1977,4m,,,,"8,7*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,пластинки Kodak 103 OaE+ к.c. 14.,
7-5230-b,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,03-04.10.1977,4m,,,,"8,7*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А., пластинки Kodak 103 OaE+ к.ф.I.,
7-5459,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,04-05.04.1985,40m,,,,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,WT-2 (очувствленные аммиаком) + ж.с.18,
7-749-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,01-02.04.1953,,,,,"8,9*9,9cm",50cm менисковый телескоп Максутова,,к.ф. III + поляроид,
7-749-b,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,01-02.04.1953,,,,,"8,9*9,9cm",50cm менисковый телескоп Максутова,,к.ф. III + поляроид,
7-669,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,20-21.12.1952,25m,05h47m,06h12m,05h47m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 7C,  пластинки Astro uns + уф.ф. Шотта. К концу экспозиции затянуло тучами.",
7-892-b,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,19-20.09.1953,2m,03h02m,03h04m,03h02m,"8,7*9,9cm",50cm менисковый телескоп Максутова,," t= + 14C,  пластинки Astro uns + уф.ф. Шотта. Облака.",
7-924,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,29-30.10.1953,35m,02h15m,02h50m,02h15m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Гаврилов,"t= + 0.5C,  пластинки Astro uns + уф.ф. Шотта. Луна. Имеет  калибровку  7-924 Cal. и  стандарт 7-923 st.",
7-924-Cal,Calibrovka,,,29-30.10.1953,22m;43m;10m,01h40m; 02h17m,02h02m; 03h00m,01h40m,"3,2*9,7cm",50cm менисковый телескоп Максутова,," t= + 0.5C,  пластинки Astro uns + уф.ф. Шотта. Луна. Калибровка к снимкам 7-924 и  7-923 st.",
7-1289,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,27-28.02.1955,1h,06h44m,07h44m,06h44m,"9,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Astro uns + уф.ф. Шотта. Луна. Имеет  калибровку  25-1289 Cal. ",
7-1297,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,16-17.03.1955,50m,07h27m,08h17m,07h27m,"8,7*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Astro uns + уф.ф. Шотта. Имеет  калибровку  25-1297 Cal. ",
7-383,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,03-04.12.1951,21m.3,04h27m.5,04h48m.8,04h27m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 0.5C,  пластинки Panchrom 1332 + ж.ф.III, имеет стандарт 25-384,  21m.3(s?)- калибровка без иземений",
7-892-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,19-20.09.1953,40m,02h07m,02h47m,02h07m,"8,7*9,9cm",50cm менисковый телескоп Максутова,," t= + 14C,  пластинки Изохром НИКФИ + с.ф.+ж.ф.I. ",
7-990,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,05-06.02.1952,1h35m,07h50m,09h25m,07h50m,"8,9*9,9cm",50cm менисковый телескоп Максутова,," t= + 4C,  пластинки Astro spec + с.з.с.",
7-1146,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,05-06.10.1954,1h,02h24m,03h24m,02h24m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Gelb rapid + ж.c.18, имеет стандарт 7-1145",
7-1148,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,06-07.10.1954,2h,03h10m,05h10m,03h10m,"9,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Gelb rapid + ж.c.18, имеет стандарт 7-1147 и калибровку 7-1148 Cal.",
7-1149,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,07-08.10.1954,1h,02h39m,03h39m,02h39m,"9,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Gelb rapid + ж.c.17, имеет стандарт 7-1150 и калибровку 7-1149 Cal.",
7-6347-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,16-17.02.1988,10m,,,,"8,4*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," пластинки ZP-1+ ж.c.18, имеет стандарт 7-6347b st. и калибровку 7-6347 Cal.",
7-6347-b-st,"звезды ζ , ε , δ Ориона (Stars-Orion)",,,16-17.02.1988,10m,,,,"7,4*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," пластинки ZP-1+ ж.c.18, имеет стандарт  к снимку 7-6347 а.",
7-6347-Cal,Calibrovka,,,16-17.02.1988,,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"пластинки ZP-1+ ж.c.18, калибровка к снимкам  7-6347a  и 7-6347b st.",
7-701,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,22-23.12.1952,1h,04h11m,05h11m,04h11m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6C,  пластинки Jsop JSS (очувствленные) + з.ф. Шотта.",
7-944-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,06-07.12.1953,20m,06h04m,06h24m,06h04m,"8,7*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3C,  пластинки Jsop JSS  + c.з.c.",
7-983,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,04-05.02.1954,20m,05h56m,06h16m,05h56m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= + 4C,  пластинки Ultra special + c.з.c.",
7-1240,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,30-31.10.1955,20m,05h54m,06h14m,05h54m,"9,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0C,  пластинки Special Gelb rapid + o.c.II, имеет стандарт 7-1240 st.  и калибровку 7-1240 Cal.",
7-749-c,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,02-03.04.1953,15m,,,,"8,9*9,9cm",50cm менисковый телескоп Максутова,,пластинки Astro uns + c.ф. Шотта + поляроид.,
7-65,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,11-12.11.1950,3h,02h06m,05h06m,02h06m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,t= - 1C.,
7-68,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,16-17.11.1950,,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,,Через облака.,
7-85,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,07-08.01.1950,,03h00m,,03h00m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 1C,  пластинки Panchrom",
7-147,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,11-12.03.1951,45m,08h08m,08h53m,08h08m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2C,  пластинки Astro uns + c.ф. ",
7-385,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,04-05.12.1951,3m,05h36m,05h39m,05h36m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2C,  пластинки Astro uns, эмульсия 1326, имеет стандарт 25-386.",
7-943-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,06-07.12.1953,4m,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3C,  пластинки Astro panchrom, светает.",
7-1157,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,30-31.10.1954,21m,02h26m,02h47m,02h26m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7C,  пластинки Jsop JSS.",
7-1208,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,27-28.12.1954,30m,02h12m,02h42m,02h12m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 8C,  пластинки Spektral platten.",
7-2362-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,01-02.01.1963,10m,05h53m,06h03m,05h53m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= + 3.5C,  пластинки Astro platten uns.",
7-100,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,01-02.02.1951,1h,05h52m,06h52m,05h52m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.  Рожковский Д.А.,"t= - 18C,  пластинки Astro platten uns.",
7-374,"M42-NGC1976-Sh-2-281, Большая тум. Ориона",05h35m,-05.23,30.11-01.12.1951,10m,03h59m,04h09m,03h59m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.  Рожковский Д.А.,"t= -1.5C,  пластинки East 103aE+ к.ф.III.",
7-710,"M42-NGC1976-Sh-2-281, Большая тум. Ориона  ?",05h35m,-05.23,10-11.01.1953,1h16m,05h44m,07h00m,05h44m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 7C,  пластинки Infrarot 850 (очувствленные ) + инфра-к.ф. 84.",
7-711,"M42-NGC1976-Sh-2-281, Большая тум. Ориона  ",05h35m,-05.23,12-13.01.1953,2h,05h40m,07h40m,05h40m,"8,7*9,9cm",50cm менисковый телескоп Максутова,,"t= + 3C,  пластинки Infrarot 850 (очувствленные ) + инфра-к.ф. 83.",
7-1241,"M42-NGC1976-Sh-2-281, Большая тум. Ориона  ",05h35m,-05.23,10-11.02.1955,40m,06h54m,07h34m,06h54m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.  Рожковский Д.А.,"t= - 3C,  пластинки Infrarot 700 (очувствленные после экспозиции) + к.с. 19, имеет стандарт и калибровку 25-1241-cal.",
7-414,"NGC2024-IC434-Barnard33, тум. Конская голова  ",05h41m,-02.27,21-22.02.1952,1h,06h11m,07h11m,06h11m,"7,8*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2C,  пластинки East 103aE+ к.ф.III , имеет стандарт 3-415 и калибровку 3-415-Cal.",
7-1424,"NGC2024-IC434-Barnard33, тум. Конская голова  ",05h41m,-02.27,23-24.09.1955,1h30m,02h44m,04h14m,02h44m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C, пластинки Astro uns + c.ф. Шотта, имеет калибровку 24-1424-Cal.",
7-1481,"NGC2024-IC 434-Barnard33, тум. Конская голова  ",05h41m,-02.27,13-14.11.1955,1h,04h51m,05h51m,04h51m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 9C,  пластинки East 103aE+ к.ф.III , имеет калибровку 5-1481-Cal.",
7-2085,"NGC2024-IC434-Barnard33, тум. Конская голова  ",05h41m,-02.27,22-23.01.1960,1h30m,04h36m,05h06m,04h36m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 10C,  пластинки Kodak 103 OaO+ ф.c. 6, имеет стандарт 24-2085-st.,  калибровку 24-2085-Cal.",
7-1-a,"M42-NGC1976-Sh-2-281, Большая тум. Ориона  ",05h35m,-05.23,08-09.03.1986,4m,16h59m,17h03m,16h59m,"8,9*10,5cm",Большая камера Шмидта (БАО),Айманов А.К.   Айманова Г.К.   Ким И.С.,"t= + 20.5C,  пленка  Kodak 2415 (гиперсенсиб. водородом Н2).",
7-923-st,NPS (α UMi)   Полярная звезда,02h31m,89.16,29-30.10.1953,35m,01h27m,02h02m,01h27m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Гаврилов,"t= + 0.5C,  пластинки Astro uns + уф.ф. Шотта. Луна. Cтандарт   к снимку 7-924 .",
7-1145-st,M45  Плеяды,03h46m,24.07,05-06.10.1954,1h,02h24m,03h24m,02h24m,"7,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Gelb rapid + ж.c.18,  стандарт к снимку 7-1146",
7-1146-Cal,Calibrovka,,,05-06.10.1954,15m;15m;15m; 15m;15m;15m; 15m,00h40m;00h56m;01h13m; 01h29m;04h15m;05h06m; 05h23m,00h55m;01h11m;01h28m; 01h44m;04h30m;05h21m; 05h38m,00h40m,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Gelb rapid + ж.c.18,  калибровка  к снимку 7-1146 и 7-1145. 1d-0,2; 2d-0.4; 3d-0.6; 4d-0.8; 5d-1.0; 6d-1.2; 7d-1.4",
7-1147-st,M45  Плеяды,03h46m,24.07,06-07.10.1954,2h,22h51m,00h51m,22h51m,"7,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Gelb rapid + ж.c.18, стандарт к снимку 7-1148.",
