Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
1-1636,Комета Кроммелина 1928 III (Crommelin),7h22.5,51.33,12-13.09.1956,12m;11m,2h29m; 2h47m,2h41m; 2h58m,2h29m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,,"t= +15C,  U= - 7m49s,   пластинки Jsoh JSS",
1-1637,Комета Кроммелина 1928 III (Crommelin),7h22.5,51.33,12-13.09.1956,15m;10m,3h17m; 3h35m,3h32m; 3h45m,3h17m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,,"t= +15C,  U= - 7m49s,   пластинки Jsoh JSS",
1-1638,Комета Кроммелина  1928 III  (Crommelin),7h22.5,51.33,12-13.09.1956,10m,3h54m,4h04m,3h54m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,,"t= +15C,  U= - 7m49s,   пластинки Jsoh JSS",
1-137,Комета Аренда-Риго (Arend-Rigo),7h53m,31.48,4-5.03.1951,9m; 9m,6h25m; 6h54m,6h34m; 7h03m,6h25m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=-8C, U=-5m.4, фокус .55, пластинки Astro platten, пластинка разбита",
1-185,Комета Пайдушковой С/1951 С1(Paiduskova),6h35m,34.26,25-26.04.1951,10m.5; 10m,10h49m.5; 11h17m,11h00m; 11h27m,10h49m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=-8C, U=-5m.4, фокус .55, пластинки Astro platten, пластинка разбита",
1-286,Комета Неуймина 3 (Neujmin),22h55m,-5.57,27-28.08.1951,12m; 12m,21h11m.5; 21h54m,21h23m.5; 22h06m,21h23m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  U=-5m.4, фокус .82",
2-436,Комета Дюбуа 1942 VII (DuBois) ,14h35m,-17.24,23-24.03.1952,11m,13h54m,14h05m,13h54m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= -1C,  U= - 1m.42s.5,  фокус .60.5",
2-440,Комета Шомасса 1951 L(Schaumasse),11h59m,45.50,24-25.03.1952,20m,12h56m.5,13h16m.5,12h56m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= + 4C,  U= - 1m, ",
2-441,Комета Дельпорт - Неуймин - Дюбуа 1942VII((Delporte-Neujmin-DuBois-1942VII)) ,14h35m,-17.20,24-25.03.1952,20m; 20m;20m,13h26m; 15h04m,13h46m; 15h24m,13h26m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= + 4C,  U= - 1m, ",
2-447,Комета Дельпорт - Неуймин - Дюбуа 1942VII(Delporte-Neujmin-DuBois-1942VII),14h32m,-17.05,31.03-01.04.1952,21m.5,15h01m,15h21m.5,15h01m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= + 9C,    фокус .70",
2-453,Комета Дельпорт - Неуймин - Дюбуа 1942VII(Delporte-Neujmin-DuBois-1942VII),14h27m,-16.20,14-15.04.1952,10m; 10m,12h29m; 13h25m,12h39m; 13h35m,12h29m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,    фокус .71",
