ID,OBJECT,OBJECT-TYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE
11-4017,NGC6611;NGC6618,,18h17m,-15.30,,16-17.08.1972,10m,20h15m,20h25m,UT_20h15m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,19,,,photographic plate.,Kodak 103aF ,,,,,интефериционный фильтр №2 На.,
11-5483-c,NGC6611;NGC6618,,18h17m,-15.30,,07-08.07.1985,5m,00h07m,00h12m,DT_00h07m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate.,ZP-3.,,,,,,
11-690,Field,,05h39m,27.00,,12-13.12.1952,1h40m,07h17m,09h00m,07h17m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-17,,,photographic plate.,Jsopan JSS (очувствленные) ,,,,,к.ф.III.,
11-707,Field,,22h00m,68.00,,09-10.01.1953,24m,02h20m,02h44m,02h20m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-9,,,photographic plate.,Astro uns.,,,,,,
11-686,McD32,,22h53m,62.05,,04-05.12.1952,1h,23h00m,00h01m,23h00m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate.,Jsopan JSS (очувствленные) ,,,,,к.ф.III.,
11-687,McD32,,22h53m,62.05,,05-06.12.1952,1h20m,22h53m,00h13m,22h53m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate.,Jsopan JSS (очувствленные) ,,,,,ж.ф.II.,
11-688,McD32,,22h53m,62.05,,06-07.12.1952,2h,00h44m,02h44m,00h44m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate.,Jsopan JSS (очувствленные),,,,,к.ф.III.,
11-22,NGC6940;OCL141,,20h30m,28.00,,19-20.09.1950,15m,23h57m,00h12m,23h57m,,9.7*9.7,50cm менисковый телескоп Максутова,,10,,,photographic plate.,Ортохром ,,,,,ж.ф,
11-581,NGC6940;OCL141,,20h33m,27.30,,25-26.07.1952,2h,18h26m,20h26m,UT_18h26m,,8.7*9.7,50cm менисковый телескоп Максутова,,20,,,photographic plate.,rot rapid (очувствленные) ,,,,,к.ф.III.,
11-2,M45,,03h46m,24.07,,08-09.09.1950,1h,,,,,9.4*9.4,50cm менисковый телескоп Максутова,Рожковский Д.А.,10,,,photographic plate.,Jlford rapid.,,,,,,
11-74,M45,,03h46m,24.07,,02-03.12.1950,2m,,,,,9.4*9.4,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,,,,,,,,
11-81, M45;alf CaMu,,03h46m,24.07,,04-05.12.1950,3h,,,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,,,,,,,,
11-82, M45;alf CaMu,,03h46m,24.07,,04-05.12.1950,2h,,,,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,,,,,,,,
11-110,IC434;Barnard33,,05h38m,-02.30,,07-08.02.1951,1h30m,07h30m,09h00m,07h30m,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,-14,,,photographic plate.,Astro uns.,,,,,,
11-121-st,M45,,03h46m,24.07,,16-17.02.1951,5m,05h00m,05h05m,UT_05h00m,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,1,,,photographic plate,Astro uns,,,стандарт к снимку 21-120.,,,
11-126,M45,,03h46m,24.07,,25-26.02.1951,1h40m,06h00m,07h40m,UT_06h00m,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,-20,,,photographic plate,Astro uns.,,,,,,
11-372,M45,,03h46m,24.07,,30.11-1.12.1951,25m,03h04m,03h29m,UT_03h04m,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,-2,,,photographic plate,Astro uns 1326.,,,,,,
11-1396,M45,,03h46m,24.07,,25-26.08.1955,20m,00h04m,00h24m,00h04m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-14,,,photographic plate,Astro uns,,,стандарт к снимку 2-1395.,,,
11-2226,M45,,03h46m,24.07,,11-12.10.1961,15m,22h29m,22h44m,22h29m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate,East OaO,,,стандарт к снимку 11-2225.,,,
11-2395,M45,,03h46m,24.07,,23-24.02.1963,30m,06h45m,07h15m,UT_06h45m,,8.7*9.7,50cm менисковый телескоп Максутова,,7,,,photographic plate,Astro uns,,,,,у.ф.с.1.,
11-2396,M45,,03h46m,24.07,,23-24.02.1963,1h15m,07h28m,08h38m,UT_07h28m,,8.7*9.7,50cm менисковый телескоп Максутова,,7,,,photographic plate,Panchrom Raman,,,,,к.ф. I.,
11-5328-a,M45,,03h46m,24.07,,01-02.11.1983,5m,22h58m,23h03,DT_22h58m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,12,,,photographic plate,East IIIaJ (очувствленные),,,,,ж.ф.18.,
11-106-a,M45,,03h46m,24.07,,03-04.02.1951,10m,,,,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П. ,-4,,,photographic plate,Astro uns.,,,,,,
11-124,M45,,03h46m,24.07,,23-24.02.1951,10m,,,,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П. ,-10,,,photographic plate,Astro uns.,,,,,,
11-125,M45,,03h46m,24.07,,23-24.02.1951,10m,,,,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П. ,-10,,,photographic plate,Astro uns.,,,,,,
11-273,NGC7293,,22h27m,-21.06,,04-05.08.1951,1h,21h03m,22h03m,21h03m,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П. ,10,,,photographic plate,East OaE ,,,имеет стандарт 25-273-st и калибровку 25-273-Calibration.,,к.ф.III,
11-279,NGC7293,,22h27m,-21.06,,11-12.08.1951,26m,23h23m,23h49m,23h23m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,13,,,photographic plate,Astro uns 1335,,,имеет стандарт 25-278 и калибровку 24-279-Calibration.,,c.ф.4,
11-304,NGC7293,,22h27m,-21.06,,04-05.09.1951,1h,20h43m,21h43m,20h43m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,10,,,photographic plate,East OaE,,,имеет стандарт 25-304-st и калибровку 24-304-Calibration.,,к.ф.III,
11-312,M27;NGC6853,,19h57m,22.35,,18-19.09.1951,40m,19h42m,20h22h,UT_19h42m,,9.7*9.7,50cm менисковый телескоп Максутова,,9,,,photographic plate,Astro uns.,,,,,,
11-396,lam Ori,,05h33m,09.55,,30-31.12.1951,1h,03h26m,04h26m,UT_03h26m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7,,,photographic plate,East OaE,,,,,к.ф.III,
11-1470,lam Ori; phi Ori,,05h32m,10.00,,23-24.10.1955,20m,05h45m,06h05m,UT_05h45m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,2,,,photographic plate,Astro uns.,,,,,,
11-1964,lam Ori,,05h33m,09.55,,09-10.02.1958,20m,06h53m,07h13m,UT_06h53m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,0,,,photographic plate,Jlford zenit.,,,,,,
11-551,alf Scrp,,16h26m,-26.20,,23-24.06.1952,1h,16h49m,17h49m,UT_16h49m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,14,,,photographic plate,rot rapid (очувствленные) ,,,,,к.ф.III,
11-266,NGC7293,,22h27m,-21.06,,28-29.07.1951,15m,21h21m,21h36m,21h21m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,13,,,photographic plate,Astro uns,,,имеет стандарт 25-266-st и калибровку 24-266-Calibration.,,,
11-1049,NGC6334,,17h18m,-36.00,,23-24.07.1954,13m,17h35m,17h48,UT_17h35m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,16,,,photographic plate,Jsopan JSS ,,,,,к.ф.III,
11-1054,NGC6334,,17h18m,-36.00,,26-27.07.1954,35m,17h15m,17h50m,UT_17h15m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,16,,,photographic plate,Jsopan JSS ,,,,,к.ф.III,
11-1055,NGC6334,,17h18m,-36.00,,26-27.07.1954,35m,17h55m,18h30m,UT_17h55m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,16,,,photographic plate,Jsopan JSS,,,,,ж.ф.II.,
11-1073,NGC6334,,17h18m,-36.00,,31.07-01.08.1954,35m,18h18m,18h53m,UT_18h18m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,23,,,photographic plate,Ultra spec,,,,,ж.ф.II.,
11-1082,NGC6334,,17h18m,-36.00,,05-06.08.1954,50m,17h35m,18h25m,UT_17h35m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate,Ultra spec,,,,,ж.ф.II.,
11-1329-a-st,rho Scrp,,15h56m,-29.12,,29-30.06.1955,1h,15h02m,16h02m,UT_15h02m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,10,,,photographic plate,rot rapid (очувствленные),,,стандарт к снимку 22-1329.,,к.ф.III,
11-1341,NGC6357,,17h22m,-34.24,,15-16.05.1955,1h30m,16h42m,18h12m,UT_16h42m,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,10,,,photographic plate,Jsopan JSS (очувствленные) ,,,имеет стандарт 11-1341-a-st и калибровку 24-1341-Calibration .,,к.ф.III,
11-1341-a-st,rho Scrp,,15h56m,-29.12,,15-16.05.1955,1h30m,14h59m,16h29m,UT_14h59m,,8.0*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,10,,,photographic plate,Jsopan JSS (очувствленные) ,,,стандарт к снимку 11-1341.,,к.ф.III,
11-1434,McD30,,22h15m,62.43,,10-11.10.1955,1h,21h52m,22h52m,21h52m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate,Astro uns,,,имеет калибровку 11-1433-Calibration.,,у.ф.с. Шотта,
11-1433-Calibration,Calibration,,,,,10-11.10.1955,,,,,,3.2*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate,Astro uns,,,калибровка к снимкам 5-1433 и 11-1434.,,у.ф.с. Шотта,
11-2743,NGC129,,00h04m,65.25,,03-04.12.1964,12m,02h22m,02h34m,02h22m,,8.7*9.7,50cm менисковый телескоп Максутова,,-5,,,photographic plate,Astro spec,,,"стандарт к снимкам 20-2741,  20-2742 и 12-2744. -Блажко.",,,
11-2992,NGC129,,00h04m,65.25,,18-19.11.1965,3m,23h51m,23h54m,23h51m,,8.7*9.7,50cm менисковый телескоп Максутова,,11,,,photographic plate,Kodak OaO,,,"стандарт к снимку 23-2990,  23-2991.",,,
11-5004,Field,,19h25m,20.00,,22-23.07.1973,10m,21h13m,21h23m,21h13m,,8.7*9.7,50cm менисковый телескоп Максутова,Городецкий Д.И.,21,,,photographic plate,ZP-1,,,,,ж.ф.III.,
11-5003,Field,,19h25m,20.00,,22-23.07.1973,10m,20h55m,21h05m,20h55m,,8.7*9.7,50cm менисковый телескоп Максутова,Городецкий Д.И.,21,,,photographic plate,ZP-1,,,,,ж.ф.III.,
11-4003,NGC6611;NGC6618,,18h17m,-15.30,,02-03.08.1972,15m,18h15m,18h30m,UT_18h15m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,1,,,photographic plate,Kodak 103aO,,, стандарт к снимку 11-4002.,,у.ф.с. Шотта,
11-4002-Calibration,Calibration,,,,,02-03.08.1972,,,,,,3.2*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,1,,,photographic plate,Kodak 103aO,,,"калибровка к снимкам 11-4002, 11-4003,  18-4004,  11-4005,  11-4006",,у.ф.с. Шотта,
11-4005,NGC6910,,20h23m,40.46,,02-03.08.1972,20m,19h16m,19h36m,UT_19h16m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,1,,,photographic plate,Kodak 103aO,,,стандарт к снимку 18-4004. -Блажко.,,у.ф.с. Шотта,
11-4006,NGC7023,,21h01m,68.10,,02-03.08.1972,20m,19h56m,20h16m,UT_19h56m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,1,,,photographic plate,Kodak 103aO,,,"стандарт к снимку 18-4004,  11-4005.",,у.ф.с. Шотта,
11-350,M45,,03h46m,24.07,,21-22.11.1951,1h,02h07m,03h07m,02h07m,,9.2*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-9,,,photographic plate,Astro uns 1326.,,,,,,
11-1915,MP1578,,00h39m,03.09,,24-25.09.1957,30m,22h57m,23h27m,22h57m,,9.7*9.7,50cm менисковый телескоп Максутова,,16,,,photographic plate,Jlford zenit. Метод Меткофа-Блажко.,,,,,,
11-1916,MP1578,,00h39m,03.09,,24-25.09.1957,30m,23h34m,00h04m,23h34m,,9.7*9.7,50cm менисковый телескоп Максутова,,16,,,photographic plate,Jlford zenit.,,,,,,
11-1967,IC405,,05h17m,34.23,,10-11.02.1958,30m,06h48m,07h18m,06h48m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aO.,,,,,,
11-2067-a,21P/Giacobini-Zinner,,17h16m,12.40,,02-03.10.1959,5m,20h08m,20h13m,20h08m,,8.7*9.7,50cm менисковый телескоп Максутова,,18,,,photographic plate,Kodak 103 OaO.,,,,,,
11-1998,Komets Barnhama,,20h38m,13.00,,01-02.10.1958,10m,20h09m,20h19m,20h09m,,8.7*9.7,50cm менисковый телескоп Максутова,,16,,,,,метод Меткофа-Блажко.,,,,,
11-1997,Komets Barnhama,,20h41m,13.00,,29-30.09.1958,9m,19h48m,19h57m,19h48m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak,метод Меткофа-Блажко.,,,,,
11-2257-st,alf UMi,,02h31m,89.15,,05-06.04.1962,10m,11h48m,11h58m,UT_11h48m,,8.7*9.7,50cm менисковый телескоп Максутова,Курчаков А.В.,0,,,photographic plate,Kodak 103 OaO,,,стандарт к снимку 1K-2257 .,,,
12-747,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,19-20.03.1953,30m,08h44m,09h14m,UT_08h44m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-10,,,photographic plate,Jsopan JSS (очувствленные),,, имеет стандар25-748 и калибровк 25-747-Calibration.,,к.ф.III,
12-2386,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,20-21.12.1963,20m,08h12m,08h32m,UT_08h12m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,5,,,photographic plate,Astro uns + у.ф.с.1.,,,,,,
12-5282,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,15-16.01.1983,7m,05h28m,05h35m,UT_05h28m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7,,,photographic plate,Kodak 103 OaO,,,имеет калибровку 12-5282-Calibration.,,,
12-5283,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,15-16.01.1983,8m,05h48m,05h56m,UT_05h48m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7,,,photographic plate,Kodak 103 OaO,,,имеет калибровку 12-5282-Calibration.,,,
12-5287,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,05-06.02.1983,45m,06h34m,07h19m,UT_06h34m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aE,,, имеет калибровку 12-5286-Calibration.,,к.ф.III,
12-5288-a,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,09-10.02.1983,10m,06h20m,06h30m,UT_06h20m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1,,,photographic plate,Kodak 103aD ,,,имеет калибровку 12-5288-a-Calibration.,,ж.ф.18,
12-5289,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,14-15.02.1983,12m,06h56m,07h08m,UT_06h56m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,,имеет калибровку 12-5289-Calibration.,,ж.ф.18,
12-5290,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,14-15.02.1983,12m,07h19m,07h31m,UT_07h19m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,,имеет калибровку 12-5289-Calibration.,,ж.ф.18,
12-5291,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,15-16.02.1983,8m,07h26m,07h34m,UT_07h26m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,0,,,photographic plate,Kodak 103aO,,,имеет калибровку 12-5291-Calibration.,,,
12-5292,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,09-10.03.1983,10m,22h24m,22h34m,DT_22h24m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,0,,,photographic plate,Kodak 103aO,,,имеет калибровку 12-5292-Calibration.,,,
12-5293,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,10-11.03.1983,7m,20h51m,20h58m,DT_20h51m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,6,,,photographic plate,Kodak 103aO,,, имеет калибровку 12-5293-Calibration.,,,
12-5294,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,31.03-01.04.1983,8m,08h58m,09h06m,UT_08h58m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,7,,,photographic plate,Kodak 103aO,,, имеет калибровку 12-5294-Calibration.,,,
12-5295,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,31.03-01.04.1983,7m,09h14m,09h21m,UT_09h14m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,7,,,photographic plate,Kodak 103aO,,,имеет калибровку 12-5294-Calibration.,,,
12-5442-a-st,Field alf Lacerta ,,22h31m,50.16,,30-31.10.1984,25m,21h54m,22h19m,21h54m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,,стандарт к снимку 12-5442-b.,,к.ф.III,
12-5442-b,NGC5146,,13h26m,-12.19,,30-31.10.1984,25m,21h14m,21h39m,21h14m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,, имеет стандарт 12-5442-a и калибровку 12-5442-a-Calibration.,,к.ф.III,
12-5455,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,16-17.02.1985,10m,20h24m,20h34m,20h24m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,, имеет стандарт 12-5455-st и калибровку 12-5455-Calibration.,,ж.ф.17,
12-5455-st,Field Ori,,05h25m,03.00,,16-17.02.1985,10m,21h05,21h15m,21h05,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,,стандарт к снимку 12-5455.,,ж.ф.18,
12-5456,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,16-17.02.1985,10m,20h41m,20h51m,20h41m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,, имеет стандарт 12-5456-st и калибровку 12-5456-Calibration.,,ж.ф.18,
12-5456-st,Field Ori,,05h25m,03.00,,16-17.02.1985,10m,21h28m,21h38m,21h28m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Kodak 103aD ,,, стандарт к снимку 12-5456.,,ж.ф.18,
12-5454,NGC2237;NGC2238;NGC2239,,06h30m,04.40,,15-16.02.1985,40m,20h18m,20h58m,20h18m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,,имеет стандарт 12-5454-st и калибровку 12-5454-Calibration.,,к.ф.№2,
12-5454-st,Field Ori,,05h25m,03.00,,15-16.02.1985,40m,21h20m,22h00m,21h20m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,, стандарт к снимку 12-5454.,,к.ф.№2,
12-1422,NGC281,,00h52m,56.37,,23-24.09.1955,40m,00h11m,00h51m,00h11m,,9.2*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,13,,,photographic plate,Astro uns.,,,,,,
12-2985,NGC281,,00h52m,56.37,,16-17.11.1965,14m,23h51m,00h05m,23h51m,,9.2*9.7,50cm менисковый телескоп Максутова,Курчаков А.В.,10,,,photographic plate,East OaO.,,,,,,
12-5329,NGC281,,00h52m,56.37,,30.11-01.12.1983,45m,22h15m,23h00m,22h15m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,,имеет калибровку 12-5329-Calibration.,,к.ф.№2,
12-5330,NGC281,,00h52m,56.37,,30.11-01.12.1983,45m,23h06m,23h51m,23h06m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,,photographic plate,Kodak 103aE,,, имеет калибровку 12-5329-Calibration.,,к.ф.№2,
12-5336,NGC281,,00h52m,56.37,,02-03.12.1983,45m,03h09m,03h54m,03h09m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,6,,,photographic plate,Kodak 103aE,,,имеет калибровку 12-5336-Calibration.,,к.ф.№2,
12-5337,NGC281,,00h52m,56.37,,02-03.12.1983,8m,21h40m,21h48m,21h40m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,,photographic plate,ZU-21,,,имеет калибровку 12-5337-Calibration.,,,
12-5338,NGC281,,00h52m,56.37,,02-03.12.1983,9m,22h04m,22h13m,22h04m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,,photographic plate,ZU-21,,,имеет калибровку 12-5337-Calibration.,,,
12-5340,NGC281,,00h52m,56.37,,08-09.12.1983,45m,21h21m,22h06m,21h21m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1.5,,,photographic plate,Kodak 103aE,,,имеет стандарт 12-5340-st и калибровку 12-5340-Calibration.,,к.ф.№2,
12-5340-st,Field alf Lacerta ,,22h31m,50.16,,08-09.12.1983,45m,20h19m,21h04m,20h19m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1.5,,,photographic plate,Kodak 103aE,,,стандарт к снимку 12-5340.,,к.ф.№2,
12-5339,NGC281,,00h52m,56.37,,02-03.12.1983,7m,22h29m,22h36m,22h29m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,,photographic plate,ZU-21,,,имеет калибровку 12-5337-Calibration.,,,
12-5341,NGC281,,00h52m,56.37,,23-24.12.1983,10m,19h46m,19h56m,19h46m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-6,,,photographic plate,ZU-21,,, имеет калибровку 12-5341-Calibration.,,,
12-5342,NGC281,,00h52m,56.37,,23-24.12.1983,9m,20h09m,20h18m,20h09m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-6,,,photographic plate,ZU-21,,,имеет калибровку 12-5341-Calibration.,,,
12-5343,NGC281,,00h52m,56.37,,25-26.12.1983,9m,20h22m,20h31m,20h22m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-5,,,photographic plate,Kodak 103aO,,, имеет калибровку 12-5343-Calibration.,,,
12-5344,NGC281,,00h52m,56.37,,25-26.12.1983,8m20s,20h49m,20h57m20s,20h49m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-5,,,photographic plate,Kodak 103aO,,,имеет калибровку 12-5343-Calibration.,,,
12-5345,NGC281,,00h52m,56.37,,26-27.12.1983,10m,20h39m,20h49m,20h39m,,9.9*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-5,,,photographic plate,Kodak 103aO,,,имеет калибровку 12-5345-Calibration.,,,
12-5346,NGC281,,00h52m,56.37,,26-27.12.1983,9m,20h58m,21h07m,20h58m,,9.5*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-5,,,photographic plate,Kodak 103aO,,, имеет калибровку 12-5345-Calibration.,,,
12-5350,NGC281,,00h52m,56.37,,25-26.01.1984,10m,20h37m,20h47m,20h37m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-15,,,photographic plate,Kodak 103aD ,,, имеет калибровку 12-5350-Calibration.,,ж.ф.18,
12-5351,NGC281,,00h52m,56.37,,25-26.01.1984,12m,21h05m,21h21m,21h05m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-15,,,photographic plate,Kodak 103aD ,,,имеет калибровку 12-5350-Calibration.,,ж.ф.18,
12-5352,NGC281,,00h52m,56.37,,30-31.01.1984,11m,20h22m,20h33m,20h22m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-12,,,photographic plate,Kodak 103aD ,,,имеет калибровку 12-5352-Calibration.,,ж.ф.18,
12-5398,IC4592,,16h11m,-19.27,,23-24.06.1984,40m,00h55m,01h35m,00h55m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,20,,,photographic plate,Kodak 103aE ,,,  имеет стандарт 12-5398-st и калибровку 12-5398-Calibration.,,к.ф.№2,
12-5398-st,Field Del,,20h37m,14.35,,23-24.06.1984,40m,00h05m,00h45m,00h05m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,20,,,photographic plate,Kodak 103aE ,,,стандарт к снимку 12-5398.,,к.ф.№2,
12-5399,IC4592,,16h11m,-19.27,,30.06-01.07.1984,37m,23h33m,00h10m,23h33m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,21,,,photographic plate,Kodak 103aE ,,, имеет калибровку 12-5399-Calibration.,,к.ф.№2,
12-5400,IC4592,,16h11m,-19.27,,01-02.07.1984,10m,00h03m,00h13m,00h03m,,8.4*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,21,,,photographic plate,Kodak 103aD ,,,имеет стандарт 12-5400-st и калибровку 12-5400-Calibration.,,ж.ф.18,
12-5401,IC4592,,16h11m,-19.27,,01-02.07.1984,10m,00h21m,00h31m,00h21m,,8.5*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,21,,,photographic plate,Kodak 103aD ,,, имеет стандарт 12-5400-st и калибровку 12-5400-Calibration.,,ж.ф.18,
12-5400-st,Field Del,,20h37m,14.35,,01-02.07.1984,10m,23h44m,23h54m,23h44m,,7.0*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,21,,,photographic plate,Kodak 103aD ,,,"стандарт к снимку 12-5400,  12-5401.",,ж.ф.18,
12-5402,IC4592,,16h11m,-19.27,,03-04.07.1984,45m,00h30m,01h15m,00h30m,,8.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,20,,,photographic plate,Kodak 103aE ,,,имеет стандарт 12-5402-st и калибровку 12-5402-Calibration.,,к.ф.№2,
