ID,OBJECT,OBJECT-TYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE
1-187,Paiduskova comet ,comet,6h29m.5,35.06,,26-27.04.1951,20m40s,10h40m50s,11h01m30s,10h40m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Торопова Т.П.,11,,U=+13s,photographic plate, Astro uns ,, .58,,,,скол края фотопластинки
1-174,Pons-Winnecke,comet,10h30m,43.40,,31.03-1.04.1951,18m; 18m,110h27m;11h35m,10h45m; 11h53m,10h27m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,1.5,,U=;комета не найдена,,,, .58,,,,
1-172,Pons-Winnecke,comet,10h30m,43.40,,30-31.03.1951,10m; 10m,11h04m; 12h09m,11h14m; 12h19m,11h04m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,U=-5m.25s;комета не найдена,photographic plate,Astro uns,метод Меткофа, .625,,,,
1-144,22P/Kopff,comet,12h39m,-15.00,,10-11.03.1951,5m; 4m; 5m,10h28m;10h36m;14h41m,10h33m;10h40m;14h46m,10h28m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-3, легкий туман,U=-5m.25s; комета не найдена,photographic plate,Astro uns,метод Меткофа, .59,,,,
1-193,22P/Kopff,comet,11h54m,-10.25,,1-2.05.1951,20m; 20m,12h03m; 13h31m,12h23m; 13h51m,12h03m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,6,,,,,метод Меткофа,,,,,
1-233,22P/Kopff,comet,12h20m.5,-7.00,,1-2.07.1951,20m,15h57m,16h17m,15h57m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,U=+3m.4;комета не найдена,,,, .72,,,,
1-184,10P/Tempel,comet,14h58m,03.06,,10-11.04.1951,20m; 20m,14h16m; 15h07m,14h36m; 15h27m,14h16m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,8,,комета не найдена,,,метод Меткофа, .57,,,,
1-249,Neujmin 3,comet,22h52m,-5.15,,6-7.07.1951,10m,21h47m,21h57m,21h47m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,15," рассвет, сильный ветер",U=+3m23s,,,, .70,,,,
1-317,Neujmin 4,comet,22h40m,-8.33,,26-27.09.1951,12m; 12m,22h13m; 23h10m,22h25m; 23h22m,22h13m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,19,,U=+2m.4,photographic plate,Jsopan JSS,, .68,,,,
1-93,2P/Encke,comet,23h02m,4.18,,8-9.01.1951,20m,1h58m,2h18m,1h58m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-9,,U=-1m35s,photographic plate,Panchrom,, .55,,,,
1-122,2P/Encke,comet,00h16m,09.06,,23-24.02.1951,6m,4h59m,5h05m,4h59m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-10,,U=-5m23s,,,метод Меткофа, .54,,,,
1-127,2P/Encke,comet,00h20m,09.12,,26-27.02.1951,8m,5h13m.6,5h21m.6,5h13m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-3,,U=-5m26s,photographic plate,Astro platten,метод Меткофа, .44,,,,на эмульсии брак
1-200,2P/Encke,comet,22h35m,-20.37,,14-15.06.1951,18m; 5m,19h42m; 20h01m,20h00m; 20h06m,19h42m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,, рассвет,U=+3m18s,,,метод Меткофа, .71  край пластинки внеа,,,,"повреждена эмульсия, край пластинки вне фокуса"
1-203,2P/Encke,comet,22h32m,-21.00,,15-16.06.1951,14m,19h51m,20h05m,19h51m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11," легкие облака,  рассвет",U=+3m13s,,,метод Меткофа, .58,,,,край пластинки затемнен
1-202,2P/Encke,comet,22h32m,-21.00,,15-16.06.1951,23m,19h26m,19h49m,19h26m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11," легкие облака,  рассвет",U=+3m13s,,,метод Меткофа, .58,,,,
1-224,2P/Encke,comet,22h14m,-23.22,,29-30.06.1951,30m,20h31m.4,21h01m.4,20h28m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,"подсвечивает луна, рассвет",,,,,  .72,,,,
1-225,2P/Encke,comet,22h14m,-23.22,,29-30.06.1951,10m,21h06m.4,21h16m.4,21h06m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,"подсвечивает луна, рассвет",,,,,  .72,,,,
1-231,2P/Encke,comet,22h14m,-23.22,,30.06.-1.07.1951,35m30s,20h06m30s,20h42m.0,20h06m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,13, рассвет,U=+3m.4,,,,,,,,вздулась эмульсия
1-232,2P/Encke,comet,22h14m,-23.22,,30.06.-1.07.1951,22m,20h46m.5,21h08m.5,20h46m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,13, рассвет,U=+3m.4,,,,,,,,вздулась эмульсия
1-240,2P/Encke,comet,22h15m,-23.35,,1-2.07.1951,31m,20h03m,20h34h,20h03m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18," облака,  рассвет",U=+3m.4,,,, .72,,,,
1-241,2P/Encke,comet,22h15m,-23.35,,1-2.07.1951,20m,20h51m,21h11m,20h51m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18," облака,  рассвет",U=+3m.4,,,, .72,,,,
1-258,2P/Encke,comet,21h45m,-26.08,,12-13.07.1951,34m,20h28m,21h02m,20h28m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,, рассвет,,,,,,,,,
1-259,2P/Encke,comet,21h45m,-26.08,,12-13.07.1951,43m,21h05m,21h48m,21h05m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,, рассвет,,,,,,,,,
1-63,Holmes,comet,4h33m,50.00,,8-9.11.1950,11m; 11m,1h36m; 2h25m,1h47m; 2h36m,1h36m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,0.5, легкие облака,U=+3m,,,, .67,,,,
1-183,Oterma,comet,,,,8-9.04.1951,21m; 21m,12h04m; 13h11m,12h25m; 13h30m,12h04m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,8, прозрачность к горизонту ухудшается,U=-3m40s,,,, .58,стандарт 9-182-st,,,
1-390-I,Grigg,comet,,,,8-9.12.1951,16m,8h40m,8h56m,8h40m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,2.5, легкие облака,U=+44s,,,, .65.5, стандарт 9-182,,,
1-390-II,Grigg,comet,,,,8-9.12.1951,23m.4,9h01m.6,9h25m.0,9h01m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,2.5, легкие облака,U=+44s,,,, .65.5,стандарт 9-182,,,
1-390-III,Grigg,comet,,,,8-9.12.1951,20m,9h31m,9h51m,9h31m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,2.5, легкие облака,U=+44s,,,, .65.5, стандарт 9-182,,,
1-389,Grigg,comet,,,,8-9.12.1951,23m.7,8h11m.3,8h35m,8h11m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,2.5, легкие облака,U=+44s,,,, .65.5,стандарт 9-182,,,
1-197,41P/Tuttle-Giacobini-Kresák,comet,9h40m,33.18,,9-10.05.1951,10m;7m;10m,13h53m;14h10m;14h18m,14h03m;14h17m;14h28m,13h53m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,,"  облачно, ветер",,,,метод Меткофа,.56,,,,
1-1705,Arend-Roland,comet,1h24m,24.30,,22-23.11.1956,10m,0h36m,0h46m,0h36m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Городецкий Д.И.,8,,U=+2m22s.6,,,, .88,,,,
1-196,Schwassmann-Wachmann,comet,11h01m,-0.30,,3-4.05.1951,20m,11h54m,12h14m,11h54m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,,U=+13s,,,, .57,,,,
1-388,Grigg-Skjellerup,comet,,,,4-5.12.1951,30m,9h00m,9h30m,9h00m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,2,,U=+40s,,,, .63,,,,
1-3090,Kilston,comet,17h56m,20.00,,14-15.08.1966,14m,20h40m,20h54m,20h40m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,17,,,photographic plate,Astro ZU-1 uns,,,стандарт 1-3091 + калибровка ,,,
1-3091-st,Field,field,17h56m,25.00,,14-15.08.1966,14m,21h05m,21h19m,21h05m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,17,,,photographic plate,Astro ZU-1 uns,,,стандарт к снимку 1-3090 + калибровка ,,,
1-3091-Calibration,Calibration,calibration,,,,14-15.08.1966,19m;10m;8m,,,,,3*9.7 ,,Рожковский Д.А.,17,,,photographic plate,Astro ZU-1 uns,,,калибровка к снимку 1-3090 + 1-3091 ,,,
1-3098,Kilston,comet,17h58m,17.00,,22-23.08.1966,9m,20h52m,21h01m,20h52m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate,Astro uns,,,имеет стандарт 1-3099 + калабровка ,,,
1-3099-st,Field,field,17h58m,20.00,,22-23.08.1966,9m,21h22m,21h31m,21h22m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate,Astro uns,,,стандарт к снимку 1-3098 + калибровка,,,
1-3099-Calibration,Calibration,calibration,,,,22-23.08.1966,15m;12m;23m; 6m;7m;4m,,,,,3*9.7 ,,Рожковский Д.А.,18,,,photographic plate,Astro uns,,,"стандарт к снимкам 1-3098,  1-3099,  1-3100,  1-3101",,,
1-3100,C/1966 P2 Barbon,comet,0h48m,-2.00,,22-23.08.1966,9m,22h00m,22h09m,22h00m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate,Astro uns,,, имеет калабровку ,,,
1-3101,C/1966 P2 Barbon,comet,0h48m,-2.00,,22-23.08.1966,5m,22h16m,22h21m,22h16m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,18,,,photographic plate,Astro uns,,, имеет калабровку ,,,
1-2558,22P/Kopff,comet,,,,4-5.08.1964,15m,21h56m,22h11m,21h56m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,имеет стандарт 1-2558stand. и калабровку ,,,
1-2558-st,22P/Koff,comet,,,,4-5.08.1964,15m,22h17m.5,22h32m.5,22h17m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,стандарт к сн. 1-2558 внефокальное изображение ,,,
1-2558-Calibration,Calibration,calibration,,,,4-5.08.1964,27m;10m;12m; 5m; 8m,,,,,3*9.7 ,,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,калибровка к снимкам 1-2558 и 1-2558стандарт. ,,,
1-2564,22P/Koff,comet,23h47m,-6.50,,6-7.08.1964,15m,22h39m,22h54m,22h39m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,,,,
1-2564-st-1,22P/Koff,comet,23h47m,-6.50,,6-7.08.1964,15m,22h19m,22h34m,22h19m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,внефокальное изображение,photographic plate,Astro spec,,, стандарт к снимку 2564 ком.Копфа,,,
1-2564-st,SA 113,,21h39m,0.00,,6-7.08.1964,15m,21h54m,22h09m,21h54m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,стандарт к снимку 1-2564 ,,,
1-2564-Calibration,Calibration,calibration,,,,6-7.08.1964,10m;20m;3m; 6m;8m;12m,,,,,3*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,19,,,photographic plate,Astro spec,,,калибровка к снимкам 1-2564 ,,,
1-2600,22P/Koff,comet,23h47m,-7.36,,13-14.08.1964,15m,0h17m.5,0h32m.5,0h17m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,20,,,photographic plate,Astro spec,,,,,,
1-2600-st-a,22P/Koff,comet,23h47m,-7.36,,13-14.08.1964,15m,0h37m,0h52m,0h37m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,20,,,photographic plate,Astro spec,,,стандарт к снимку 1-2600 ,,,
